idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,12.24,0,12.24,0,0,20
2,5,0,0,15.1,0,15.1,0,0,20
3,3,0,0,23.14,0,23.14,0,0,20
4,6,0,0,6.33,0,6.33,0,1,20
5,2,0,1,10.49,0,10.49,0,1,20
6,1,0,0,22.68,0,22.68,0,0,20
7,2,0,0,11.91,0,11.91,0,0,20
8,5,0,1,21.04,0,21.04,1,0,20
9,6,0,1,5.43,0,5.43,2,0,20
10,6,0,2,8.48,0,8.48,3,0,20
11,5,0,2,21.07,0,21.07,4,0,20
12,6,0,3,9.19,0,9.19,5,0,20
13,6,0,4,9.49,0,9.49,6,0,20
14,1,0,1,23.83,0,23.83,7,0,20
15,2,0,2,16.56,0,16.56,8,0,20
16,3,0,1,11.68,0,11.68,9,0,20
17,2,0,3,22.93,0,22.93,10,0,20
18,4,0,1,8.98,0,8.98,11,0,20
19,1,0,2,5.75,0,5.75,12,0,20
20,4,0,2,22.17,0,22.17,13,0,20
21,1,0,3,20.39,0,20.39,14,0,20
22,3,0,2,5.42,0,5.42,15,0,20
23,3,0,3,7.98,0,7.98,16,0,20
24,3,0,4,10.53,0,10.53,17,0,20
25,4,0,3,7.13,0,7.13,18,0,20
