Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 279.725769, 0.117320, 120.311401, -5.141292, 0.008570, -0.004656, 7.270000, 0, 0, 1.000000, 1
2, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 509.022400, -0.048393, 119.915443, -5.149627, 0.011053, -0.006378, 14.410000, 0, 0, 2.000000, 2
3, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 301.212891, 0.030749, 341.756287, -5.955129, 0.014323, -0.010408, 11.060000, 0, 0, 3.000000, 3
4, 1243.000000, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1244.586792, -0.027345, 111.614113, -1.363024, 0.004175, -0.000242, 5.960000, 0, 0, 4.000000, 4
5, 1243.000000, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1249.790283, -0.034994, 332.450012, -1.531617, -0.010389, -0.016255, 8.710000, 0, 0, 5.000000, 5
6, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 753.444031, -0.041732, 117.433121, -4.182874, 0.010926, -0.003527, 5.570000, 0, 0, 6.000000, 6
7, 248.600006, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 323.495270, -0.009811, 562.104553, -5.858919, -0.002525, -0.018085, 19.780001, 0, 0, 7.000000, 7
8, 1491.600098, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1491.519531, 0.008011, 110.450714, -0.338727, -0.006194, -0.007511, 8.670000, 0, 0, 8.000000, 8
9, 248.600006, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 345.764557, -0.037392, 782.612366, -5.807711, -0.007558, -0.017742, 16.070000, 0, 0, 9.000000, 9
10, 1491.600098, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1492.632812, -0.024602, 331.540833, -0.255137, -0.010956, -0.014098, 15.930000, 0, 0, 10.000000, 10
11, 497.200012, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 531.195923, -0.163056, 340.569061, -5.519623, 0.004713, 0.003888, 15.520000, 0, 0, 11.000000, 11
12, 1243.000000, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1255.780884, -0.129052, 553.516541, -1.640411, -0.016868, -0.025785, 11.310000, 0, 0, 12.000000, 12
13, 1491.600098, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1493.546265, -0.096004, 552.882202, -0.209815, -0.011677, -0.019797, 18.200001, 0, 0, 13.000000, 13
14, 497.200012, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 553.344238, -0.185099, 560.963013, -5.427193, -0.006089, -0.003114, 22.730000, 0, 0, 14.000000, 14
15, 1243.000000, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1262.311035, -0.248884, 774.769836, -1.750949, -0.022681, -0.031183, 12.050000, 0, 0, 15.000000, 15
16, 745.800049, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 769.794678, -0.043079, 337.696136, -4.056555, -0.011716, -0.014760, 7.320000, 0, 0, 16.000000, 16
17, 1491.600098, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1494.446411, -0.186875, 774.401794, -0.164837, -0.020478, -0.024359, 18.219999, 0, 0, 17.000000, 17
18, 994.400024, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 998.866211, -0.009539, 114.454384, -2.746299, 0.005685, 0.003717, 5.040000, 0, 0, 18.000000, 18
19, 1243.000000, 0.000000, 997.200012, 0.000000, 0.000000, 0.000000, 1269.926025, -0.409329, 996.525330, -1.916299, -0.020036, -0.032350, 14.410000, 0, 0, 19.000000, 19
20, 994.400024, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1009.625732, 0.032215, 334.840759, -2.892722, -0.014631, -0.007995, 5.310000, 0, 0, 20.000000, 20
21, 994.400024, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1020.676025, -0.003967, 555.152771, -2.726926, -0.009306, -0.017358, 5.580000, 0, 0, 21.000000, 21
22, 745.800049, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 785.399048, -0.132244, 558.365601, -3.807975, -0.007745, -0.026418, 10.080000, 0, 0, 22.000000, 22
23, 745.800049, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 799.972351, -0.254398, 779.415405, -3.606120, -0.004220, -0.033071, 15.390000, 0, 0, 23.000000, 23
24, 994.400024, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1031.048096, -0.087375, 776.290955, -2.403991, -0.007085, -0.029892, 14.180000, 0, 0, 24.000000, 24
25, 994.400024, 0.000000, 997.200012, 0.000000, 0.000000, 0.000000, 1040.605469, -0.207637, 997.691589, -2.237161, -0.021744, -0.035294, 17.059999, 0, 0, 25.000000, 25
