Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Group, Score, Seq, Reloc, Size(ft)
1, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 765.517456, -0.063775, 127.903900, -8.406571, -0.012952, 0.007582, 12.990000, 0, 12.000000, 0, 0, 0
2, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 800.939209, -0.110068, 351.362823, -8.834651, -0.006337, -0.019568, 16.309999, 0, 16.000000, 0, 0, 0
3, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 837.755615, -0.243194, 574.426880, -8.692628, 0.023184, -0.045439, 23.780001, 0, 23.000000, 0, 0, 0
4, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 302.353088, -0.838022, 127.847923, -7.698508, -0.069132, 0.026091, 12.570000, 0, 12.000000, 0, 0, 0
5, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 532.462830, -0.225660, 125.072128, -7.429854, 0.001429, -0.129894, 5.040000, 0, 5.000000, 0, 0, 0
6, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 336.147125, -0.580998, 353.915161, -9.088127, -0.004006, 0.039978, 21.709999, 0, 21.000000, 0, 0, 0
7, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 372.310699, -1.242844, 577.261169, -9.054291, -0.020184, 0.033030, 23.010000, 0, 23.000000, 0, 0, 0
8, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 568.016785, -0.631288, 350.274292, -8.872908, -0.021122, 0.051619, 6.690000, 0, 6.000000, 0, 0, 0
9, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 603.905212, -0.444827, 573.688049, -8.914539, -0.019578, 0.091540, 15.920000, 0, 15.000000, 0, 0, 0
10, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1010.626831, -0.080754, 125.599922, -7.510321, 0.038532, 0.009097, 6.650000, 0, 6.000000, 0, 0, 0
11, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1040.818726, 0.045833, 349.720642, -7.747996, 0.009273, 0.032604, 12.960000, 0, 12.000000, 0, 0, 0
12, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1071.150024, 0.157471, 573.530212, -7.666733, 0.017628, 0.027356, 15.220000, 0, 15.000000, 0, 0, 0
13, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1255.972290, -0.084888, 123.045166, -5.613140, -0.010926, -0.042433, 8.840000, 0, 8.000000, 0, 0, 0
14, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 640.804382, -0.288008, 796.981750, -8.914128, 0.027285, 0.093524, 22.959999, 0, 22.000000, 0, 0, 0
15, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1278.596313, -0.402827, 348.229370, -5.835347, 0.022988, -0.048942, 11.660000, 0, 11.000000, 0, 0, 0
16, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1091.430420, 0.267061, 798.966064, -7.567355, -0.188926, 0.034344, 18.959999, 0, 18.000000, 0, 0, 0
17, 996.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 2397.273438, -47.190807, 113.233063, -0.194733, 2.481703, -0.005902, 20.110001, 0, 20.000000, 0, 0, 0
18, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1303.614502, -0.624983, 574.681274, -6.608012, 0.022882, -0.046572, 22.639999, 0, 22.000000, 0, 0, 0
19, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1500.300537, 0.226021, 118.761391, -3.072801, -0.057168, 0.029356, 10.140000, 0, 10.000000, 0, 0, 0
20, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1514.189087, 0.337793, 344.400818, -3.042097, 0.023230, 0.006679, 14.250000, 0, 14.000000, 0, 0, 0
