idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,1,15.52,0,15.52,0,1,20
2,1,0,2,23.54,0,23.54,0,1,20
3,1,0,0,14.95,0,14.95,0,0,20
4,2,0,0,17.58,0,17.58,1,0,20
5,3,0,0,7.74,0,7.74,2,0,20
6,2,0,1,20.72,0,20.72,3,0,20
7,4,0,0,7.32,0,7.32,4,0,20
8,3,0,1,8.63,0,8.63,5,0,20
9,3,0,2,9.12,0,9.12,6,0,20
10,3,0,3,10.15,0,10.15,7,0,20
11,4,0,1,13.66,0,13.66,8,0,20
12,4,0,2,19.6,0,19.6,9,0,20
13,5,0,0,8.59,0,8.59,10,0,20
14,6,0,0,5.41,0,5.41,11,0,20
15,5,0,1,9.95,0,9.95,12,0,20
16,3,0,4,15.88,0,15.88,13,0,20
17,2,0,2,21.62,0,21.62,14,0,20
18,5,0,2,18.37,0,18.37,15,0,20
19,2,0,3,22.16,0,22.16,16,0,20
20,6,0,1,17.56,0,17.56,17,0,20
