Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 748.801147, -0.115530, 339.091003, -0.455253, 0.034420, -0.034829, 18.040001, 0, 18.040001, 0, 0, 0
2, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 751.084167, -0.233767, 565.291077, -0.465650, 0.033602, -0.024296, 22.040001, 0, 22.040001, 0, 0, 0
3, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.972229, 0.019070, 112.916779, -0.379479, -0.002908, -0.005767, 9.690000, 0, 9.690000, 0, 0, 0
4, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 260.501892, 0.029984, 121.814804, -4.801398, -0.027275, -0.004694, 5.670000, 0, 5.670000, 0, 0, 0
5, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 278.983276, -0.043155, 347.079346, -4.687211, -0.030994, -0.007603, 16.490000, 0, 16.490000, 0, 0, 0
6, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 498.565613, 0.054926, 113.216515, -0.036550, -0.031146, -0.001752, 23.330000, 0, 23.330000, 0, 0, 0
7, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.972778, -0.006188, 113.162254, 0.035625, 0.000003, -0.004412, 10.540000, 0, 10.540000, 0, 0, 0
8, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.995239, -0.001679, 113.182068, 0.005631, 0.000005, -0.001016, 8.580000, 0, 8.580000, 0, 0, 0
9, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.995239, -0.001680, 113.182068, 0.005631, 0.000005, -0.001016, 6.690000, 0, 6.690000, 0, 0, 0
10, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 995.815918, -0.027476, 339.365204, 0.034322, 0.000023, -0.005825, 15.610000, 0, 15.610000, 0, 0, 0
