idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,3,0,3,11.89,0,11.89,0,1,20
2,3,0,2,10.4,0,10.4,0,1,20
3,3,0,4,15.76,0,15.76,0,1,20
4,3,0,1,9.16,0,9.16,0,1,20
5,3,0,0,5.66,0,5.66,0,0,20
6,1,0,0,12.81,0,12.81,1,0,20
7,1,0,1,14.35,0,14.35,2,0,20
8,2,0,0,16.81,0,16.81,3,0,20
9,2,0,1,20.99,0,20.99,4,0,20
10,1,0,2,17.99,0,17.99,5,0,20
11,4,0,0,6.56,0,6.56,6,0,20
12,4,0,1,12.94,0,12.94,7,0,20
13,1,0,3,18.5,0,18.5,8,0,20
14,5,0,0,7.38,0,7.38,9,0,20
15,5,0,1,8.73,0,8.73,10,0,20
16,6,0,0,7.26,0,7.26,11,0,20
17,4,0,2,20.29,0,20.29,12,0,20
18,5,0,2,15.88,0,15.88,13,0,20
19,6,0,1,12.12,0,12.12,14,0,20
20,6,0,2,11.0,0,11.0,15,0,20
21,5,0,3,16.67,0,16.67,16,0,20
22,6,0,3,8.5,0,8.5,17,0,20
23,6,0,4,14.14,0,14.14,18,0,20
24,5,0,4,15.37,0,15.37,19,0,20
25,4,0,3,7.16,0,7.16,20,0,20
26,4,0,4,11.97,0,11.97,21,0,20
27,2,0,2,16.57,0,16.57,22,0,20
