idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,11.72,0,11.72,1,1.0,20
2,2,0,1,10.1,0,10.1,2,1.0,20
3,4,0,0,17.79,0,17.79,3,0,20
4,1,0,0,6.44,0,6.44,4,1.0,20
5,5,0,0,23.02,0,23.02,5,0,20
6,3,0,0,6.43,0,6.43,6,1.0,20
7,2,0,2,13.19,0,13.19,7,1.0,20
8,1,0,1,5.39,0,5.39,8,1.0,20
9,4,0,1,19.65,0,19.65,9,1.0,20
10,3,0,1,9.6,0,9.6,10,1.0,20
11,1,0,2,6.08,0,6.08,11,1.0,20
12,2,0,3,10.41,0,10.41,12,1.0,20
13,3,0,2,13.01,0,13.01,13,1.0,20
14,4,0,2,12.72,0,12.72,14,1.0,20
15,3,0,3,12.99,0,12.99,15,1.0,20
