Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 1243.000000, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1242.976562, -0.003174, 110.867561, 0.030831, 0.000011, -0.001618, 16.180000, 0, 0, 0.000000, 0
2, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 503.223877, -0.077374, 112.286575, -0.954787, 0.011083, -0.017407, 15.820000, 0, 0, 0.000000, 0
3, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 745.752319, -0.004675, 110.736420, 0.050795, 0.000589, -0.003301, 13.520000, 0, 0, 0.000000, 0
4, 1243.000000, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1242.842529, -0.010863, 332.470642, 0.029899, -0.000003, -0.002217, 21.660000, 0, 0, 1.000000, 1
5, 994.400024, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 994.377075, -0.004786, 110.655609, 0.023379, 0.000015, -0.004657, 9.580000, 0, 0, 2.000000, 2
6, 1491.600098, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1491.595215, -0.001283, 110.881966, 0.005838, 0.000008, -0.000704, 22.900000, 0, 0, 3.000000, 3
7, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 274.592834, -0.067304, 112.106079, -0.782923, -0.002796, 0.017597, 7.160000, 0, 0, 4.000000, 4
8, 497.200012, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 507.965790, -0.130299, 333.746429, -0.974829, -0.007823, -0.017162, 19.049999, 0, 0, 5.000000, 5
9, 745.800049, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 745.456909, -0.030595, 332.193542, 0.123620, 0.000586, -0.009978, 14.020000, 0, 0, 6.000000, 6
10, 497.200012, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 513.196045, -0.220788, 555.310303, -0.969699, -0.031758, -0.016297, 20.340000, 0, 0, 7.000000, 7
11, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 278.836548, -0.037526, 334.059204, -1.177502, 0.002354, 0.023148, 11.900000, 0, 0, 8.000000, 8
12, 248.600006, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 283.383148, -0.016158, 555.572144, -1.105383, -0.009183, 0.021847, 15.650000, 0, 0, 9.000000, 9
13, 994.400024, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 994.180908, -0.035289, 332.122711, 0.097729, 0.000014, -0.010861, 17.920000, 0, 0, 10.000000, 10
14, 994.400024, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 993.752258, -0.082245, 553.700623, 0.120004, -0.000006, -0.013142, 18.600000, 0, 0, 11.000000, 11
15, 745.800049, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 744.820618, -0.086030, 553.771118, 0.144725, 0.009707, -0.012695, 22.629999, 0, 0, 12.000000, 12
