Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 250.535278, 0.051058, 110.882874, -0.022544, -0.051917, -0.000257, 23.719999, 0, 0, 0.000000, 0
2, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 745.744202, 0.002966, 110.899178, 0.025600, -0.000345, -0.002398, 18.370001, 0, 0, 0.000000, 0
3, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 507.448669, -0.021271, 120.213715, -4.985810, 0.000763, 0.000188, 12.000000, 0, 0, 1.000000, 1
4, 497.200012, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 526.931519, -0.032101, 340.982605, -4.920981, 0.001224, 0.003573, 11.110000, 0, 0, 2.000000, 2
5, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 298.894043, -0.067391, 357.975800, -4.945434, 0.001019, 0.008666, 5.240000, 0, 0, 3.000000, 3
