Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 994.400024, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1012.570190, -0.071156, 110.891159, 0.004276, -0.032048, -0.000491, 10.490000, 0, 0, 0.000000, 0
2, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 526.268921, -0.388700, 111.011780, -0.091652, -0.255153, 0.007505, 16.059999, 0, 0, 0.000000, 0
3, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 297.721222, 0.780788, 110.681114, -0.176946, -0.264187, -0.001937, 6.860000, 0, 0, 1.000000, 1
4, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 988.025391, -0.616146, 347.023224, 83.461098, 179.971191, 179.970261, 15.850000, 0, 0, 2.000000, 2
5, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 756.153137, 0.320445, 110.952736, -0.096122, -0.127936, -0.008918, 14.070000, 0, 0, 3.000000, 3
