idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,8.14,0,8.14,1,0,20
2,6,0,0,6.3,0,6.3,2,0,20
3,1,0,0,22.38,0,22.38,3,0,20
4,2,0,0,18.87,0,18.87,4,0,20
5,5,0,0,6.4,0,6.4,5,0,20
6,1,0,1,23.8,0,23.8,6,0,20
7,5,0,1,15.85,0,15.85,7,0,20
8,2,0,1,19.9,0,19.9,8,0,20
9,4,0,1,15.53,0,15.53,9,0,20
10,3,0,0,12.11,0,12.11,10,0,20
11,4,0,2,22.89,0,22.89,11,0,20
12,6,0,1,9.72,0,9.72,12,0,20
13,6,0,2,15.37,0,15.37,13,1.0,20
14,3,0,1,12.35,0,12.35,14,0,20
15,3,0,2,14.14,0,14.14,15,0,20
16,2,0,2,21.08,0,21.08,16,0,20
17,4,0,3,23.37,0,23.37,17,0,20
18,3,0,3,22.32,0,22.32,18,0,20
19,5,0,2,17.39,0,17.39,19,0,20
20,6,0,3,12.74,0,12.74,20,1.0,20
