idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,6.97,0,6.97,1,0,20
2,1,0,1,8.51,0,8.51,2,0,20
3,2,0,0,19.07,0,19.07,3,0,20
4,2,0,1,21.75,0,21.75,4,0,20
5,1,0,2,11.67,0,11.67,5,0,20
6,1,0,3,23.77,0,23.77,6,0,20
7,3,0,0,7.33,0,7.33,7,0,20
8,3,0,1,16.71,0,16.71,8,0,20
9,4,0,0,16.89,0,16.89,9,0,20
10,5,0,0,8.63,0,8.63,10,0,20
11,5,0,1,15.23,0,15.23,11,0,20
12,4,0,1,21.73,0,21.73,12,0,20
13,6,0,0,15.85,0,15.85,13,0,20
14,5,0,2,11.82,0,11.82,14,0,20
15,6,0,1,14.63,0,14.63,15,0,20
16,6,0,2,15.42,0,15.42,16,0,20
17,5,0,3,6.29,0,6.29,17,0,20
18,3,0,2,18.49,0,18.49,18,0,20
19,3,0,3,19.55,0,19.55,19,0,20
20,6,0,3,10.15,0,10.15,20,0,20
21,6,0,4,20.23,0,20.23,21,0,20
22,4,0,2,20.42,0,20.42,22,0,20
23,2,0,2,23.47,0,23.47,23,0,20
24,4,0,3,21.06,0,21.06,24,0,20
25,4,0,4,22.66,0,22.66,25,0,20
