Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Group, Score, Seq, Reloc, Size(ft)
1, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1023.486572, 0.807321, 781.305908, -19.636602, 0.010706, 0.116618, 11.890000, 0, 11.000000, 0, 0, 0
2, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 947.409241, 0.275530, 568.064026, -19.639019, 0.034419, 0.102127, 10.400000, 0, 10.000000, 0, 0, 0
3, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1098.785034, 1.892605, 1000.842651, -18.092649, -0.018134, 0.674242, 15.760000, 0, 15.000000, 0, 0, 0
4, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 869.641602, 0.069596, 355.979095, -19.921967, 0.001772, 0.049765, 9.160000, 0, 9.000000, 0, 0, 0
5, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 791.382996, 0.076463, 143.859512, -19.854492, -0.049366, 0.016260, 5.660000, 0, 5.000000, 0, 0, 0
6, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 314.765503, -0.141906, 172.869766, -17.670424, -0.043921, -0.203959, 12.810000, 0, 12.000000, 0, 0, 0
7, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 385.597778, -0.837361, 389.057709, -18.408957, -0.073604, -0.190384, 14.350000, 0, 14.000000, 0, 0, 0
8, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 545.364746, -0.152355, 141.888397, -17.658236, -0.057798, 0.005728, 16.809999, 0, 16.000000, 0, 0, 0
9, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 617.076294, -0.301503, 356.597107, -17.916462, -0.016199, -0.029139, 20.990000, 0, 20.000000, 0, 0, 0
10, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 457.152252, -1.252558, 603.747986, -18.413658, -0.012596, -0.210262, 17.990000, 0, 17.000000, 0, 0, 0
11, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1038.790039, -0.040699, 143.291916, -19.412682, 0.062668, -0.011009, 6.560000, 0, 6.000000, 0, 0, 0
12, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1114.880249, 0.100394, 355.815460, -19.462458, 0.028274, 0.058623, 12.940000, 0, 12.000000, 0, 0, 0
13, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 780.996094, -1.068179, 782.478394, -71.060646, 179.927338, -179.904465, 18.500000, 0, 18.000000, 0, 0, 0
14, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1285.783203, 0.050810, 142.584167, -18.878998, 0.014043, -0.056342, 7.380000, 0, 7.000000, 0, 0, 0
15, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1360.448975, -0.029925, 355.572510, -19.173199, -0.046058, -0.004322, 8.730000, 0, 8.000000, 0, 0, 0
16, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1534.187012, 0.122686, 142.681717, -18.673458, -0.025844, 0.023821, 7.260000, 0, 7.000000, 0, 0, 0
17, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1191.507446, 0.135739, 568.485413, -19.413813, 0.097245, 0.011737, 20.290001, 0, 20.000000, 0, 0, 0
18, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1435.398926, -0.101550, 568.413391, -19.064611, -0.019913, 0.007625, 15.880000, 0, 15.000000, 0, 0, 0
19, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1606.622803, 0.104202, 356.385468, -18.661278, -0.054684, 0.001383, 12.120000, 0, 12.000000, 0, 0, 0
20, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1679.423218, -0.028274, 570.314270, -18.866562, -0.057389, -0.024323, 11.000000, 0, 11.000000, 0, 0, 0
21, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1509.481445, -0.147049, 782.048828, -18.949148, 0.003539, -0.013810, 16.670000, 0, 16.000000, 0, 0, 0
22, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1752.996826, -0.134611, 783.767151, -18.905096, -0.078283, -0.002377, 8.500000, 0, 8.000000, 0, 0, 0
