Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 259.136993, -0.046377, 120.741280, -4.288404, 0.001875, 0.004811, 9.420000, 0, 9.420000, 0, 0, 0
2, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 275.996033, -0.106031, 345.994843, -4.156913, -0.000239, -0.033452, 12.240000, 0, 12.240000, 0, 0, 0
3, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 502.544037, -0.111505, 116.937378, -2.526629, 0.033919, -0.019851, 10.080000, 0, 10.080000, 0, 0, 0
4, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 291.207062, -0.187643, 572.569397, -3.682457, 0.008002, -0.024132, 23.410000, 0, 23.410000, 0, 0, 0
5, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 512.559448, -0.205055, 342.578796, -2.451303, 0.014980, -0.039811, 18.469999, 0, 18.469999, 0, 0, 0
6, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.997803, -0.001662, 113.182373, 0.004707, 0.000006, -0.001020, 13.130000, 0, 13.130000, 0, 0, 0
7, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 522.751160, -0.485732, 568.391479, -2.393870, 0.010712, -0.047489, 18.920000, 0, 18.920000, 0, 0, 0
