idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,4,0,1,14.71,0.0,0.0,2,20
2.0,6,0,1,13.94,0.0,0.0,1,20
3.0,1,0,0,16.38,0.0,0.0,0,20
4.0,6,0,0,5.61,0.0,0.0,0,20
5.0,1,0,1,6.54,0.0,0.0,0,20
6.0,4,0,0,14.04,1.0,0.0,0,20
7.0,4,0,3,19.74,2.0,0.0,1,20
8.0,4,0,2,18.22,3.0,0.0,0,20
9.0,4,0,4,23.12,4.0,0.0,0,20
10.0,6,0,2,21.2,5.0,0.0,0,20
11.0,3,0,2,14.72,6.0,0.0,1,20
12.0,2,0,0,5.59,7.0,0.0,0,20
13.0,1,0,2,5.46,8.0,0.0,0,20
14.0,5,0,0,16.04,9.0,0.0,0,20
15.0,3,0,1,13.61,10.0,0.0,1,20
16.0,5,0,1,21.83,11.0,0.0,0,20
17.0,5,0,2,19.57,12.0,0.0,0,20
18.0,5,0,3,19.91,13.0,0.0,0,20
19.0,3,0,4,21.7,14.0,0.0,1,20
20.0,3,0,0,9.6,15.0,0.0,0,20
21.0,2,0,1,10.28,16.0,0.0,0,20
22.0,3,0,3,13.58,17.0,0.0,0,20
23.0,2,0,2,11.52,18.0,0.0,0,20
24.0,5,0,4,19.08,19.0,0.0,0,20
25.0,1,0,3,10.46,20.0,0.0,0,20
