idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1,5,0,1,22.52,0,0,2,20
2,3,0,1,14.86,0,0,1,20
3,5,0,0,17.88,0,0,1,20
4,4,0,0,14.74,0,0,0,20
5,4,0,1,15.8,0,0,2,20
6,3,0,0,10.31,1,0,0,20
7,3,0,2,15.25,2,0,0,20
8,6,0,0,22.61,3,0,0,20
9,2,0,3,15.59,4,0,1,20
10,6,0,1,23.18,5,0,0,20
11,2,0,2,14.2,6,0,1,20
12,2,0,4,17.27,7,0,1,20
13,2,0,1,7.81,8,0,1,20
14,2,0,0,6.7,9,0,0,20
15,5,0,2,21.9,10,0,0,20
16,1,0,0,5.02,11,0,0,20
17,1,0,1,5.32,12,0,0,20
18,3,0,3,11.13,13,0,0,20
19,4,0,2,19.22,14,0,0,20
20,4,0,3,19.87,15,0,0,20
21,3,0,4,19.92,16,0,0,20
22,1,0,2,8.74,17,0,0,20
23,4,0,4,21.05,18,0,0,20
24,5,0,3,23.46,19,0,0,20
25,1,0,3,14.43,20,0,1,20
