idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,6,0,2,23.59,0.0,0.0,1,20
2.0,6,0,1,19.52,0.0,0.0,1,20
3.0,3,0,0,8.84,0.0,0.0,0,20
4.0,6,0,0,23.62,0.0,0.0,0,20
5.0,1,0,0,5.29,0.0,0.0,1,20
6.0,6,0,3,18.01,1.0,0.0,0,20
7.0,2,0,0,8.98,2.0,0.0,0,20
8.0,4,0,0,12.23,3.0,0.0,0,20
9.0,2,0,1,7.47,4.0,0.0,0,20
10.0,3,0,1,9.26,5.0,0.0,0,20
11.0,4,0,2,23.38,6.0,0.0,1,20
12.0,4,0,1,11.44,7.0,0.0,0,20
13.0,2,0,2,9.02,8.0,0.0,0,20
14.0,4,0,3,20.12,9.0,0.0,0,20
15.0,5,0,1,21.09,10.0,0.0,1,20
16.0,5,0,0,15.08,11.0,0.0,0,20
17.0,6,0,4,15.1,12.0,0.0,0,20
18.0,5,0,2,19.49,13.0,0.0,0,20
19.0,4,0,4,23.73,14.0,0.0,0,20
20.0,3,0,2,10.11,15.0,0.0,0,20
21.0,2,0,3,14.75,16.0,0.0,0,20
22.0,2,0,4,14.83,17.0,0.0,0,20
23.0,1,0,1,5.04,18.0,0.0,0,20
24.0,3,0,3,17.26,19.0,0.0,0,20
25.0,1,0,2,8.83,20.0,0.0,0,20
