idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,1,0,0,20.56,0.0,0.0,0,20
2.0,6,0,1,20.92,0.0,0.0,1,20
3.0,6,0,0,19.66,0.0,0.0,1,20
4.0,1,0,1,6.47,0.0,0.0,0,20
5.0,1,0,2,12.03,0.0,0.0,1,20
6.0,3,0,0,10.72,1.0,0.0,0,20
7.0,3,0,4,20.78,2.0,0.0,1,20
8.0,4,0,4,23.13,3.0,0.0,1,20
9.0,5,0,0,19.44,4.0,0.0,0,20
10.0,4,0,0,11.88,5.0,0.0,0,20
11.0,1,0,4,13.62,6.0,0.0,1,20
12.0,5,0,1,17.66,7.0,0.0,0,20
13.0,5,0,2,21.55,8.0,0.0,0,20
14.0,2,0,0,5.5,9.0,0.0,0,20
15.0,4,0,1,14.07,10.0,0.0,0,20
16.0,4,0,3,21.99,11.0,0.0,1,20
17.0,4,0,2,15.73,12.0,0.0,0,20
18.0,3,0,3,18.71,13.0,0.0,1,20
19.0,2,0,1,6.04,14.0,0.0,0,20
20.0,3,0,1,12.48,15.0,0.0,0,20
21.0,3,0,2,14.08,16.0,0.0,0,20
22.0,1,0,3,10.1,17.0,0.0,0,20
23.0,2,0,2,8.35,18.0,0.0,0,20
24.0,2,0,4,18.34,19.0,0.0,1,20
25.0,2,0,3,9.98,20.0,0.0,0,20
