idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,1,0,3,14.33,0.0,0.0,1,20
2.0,1,0,1,9.86,0.0,0.0,1,20
3.0,1,0,2,14.19,0.0,0.0,1,20
4.0,6,0,1,21.2,0.0,0.0,2,20
5.0,1,0,0,7.1,0.0,0.0,1,20
6.0,4,0,1,15.13,1.0,0.0,1,20
7.0,6,0,0,21.05,2.0,0.0,0,20
8.0,5,0,2,23.16,3.0,0.0,1,20
9.0,2,0,1,11.58,4.0,0.0,1,20
10.0,3,0,3,19.94,5.0,0.0,1,20
11.0,3,0,2,15.34,6.0,0.0,1,20
12.0,2,0,0,10.07,7.0,0.0,0,20
13.0,4,0,4,23.31,8.0,0.0,1,20
14.0,4,0,0,13.84,9.0,0.0,0,20
15.0,4,0,2,20.93,10.0,0.0,0,20
16.0,4,0,3,19.13,11.0,0.0,0,20
17.0,3,0,0,13.52,12.0,0.0,0,20
18.0,3,0,1,13.22,13.0,0.0,0,20
19.0,2,0,2,10.28,14.0,0.0,0,20
20.0,5,0,0,18.07,15.0,0.0,0,20
21.0,5,0,1,18.81,16.0,0.0,0,20
22.0,2,0,3,13.35,17.0,0.0,0,20
23.0,3,0,4,20.68,18.0,0.0,0,20
24.0,1,0,4,14.96,19.0,0.0,0,20
25.0,5,0,3,20.13,20.0,0.0,0,20
