idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,13.43,0,13.43,0,0,20
2,6,0,0,18.22,0,18.22,0,0,20
3,1,0,0,20.37,0,20.37,0,0,20
4,3,0,0,23.36,0,23.36,0,0,20
5,4,0,0,8.96,0,8.96,0,0,20
6,6,0,1,22.78,0,22.78,1,0,20
7,2,0,0,7.84,0,7.84,2,0,20
8,2,0,1,10.86,0,10.86,3,0,20
9,4,0,1,8.08,0,8.08,4,0,20
10,5,0,1,15.18,0,15.18,5,0,20
11,2,0,2,12.21,0,12.21,6,0,20
12,4,0,2,13.69,0,13.69,7,0,20
13,5,0,2,16.96,0,16.96,8,0,20
14,6,0,2,22.3,0,22.3,9,0,20
15,1,0,1,11.32,0,11.32,10,0,20
16,5,0,3,17.51,0,17.51,11,0,20
17,1,0,2,11.3,0,11.3,12,0,20
18,6,0,3,21.44,0,21.44,13,0,20
19,3,0,1,5.38,0,5.38,14,0,20
20,1,0,3,9.98,0,9.98,15,0,20
21,6,0,4,21.45,0,21.45,16,0,20
22,3,0,2,9.08,0,9.08,17,0,20
23,5,0,4,20.71,0,20.71,18,0,20
24,2,0,3,6.24,0,6.24,19,0,20
25,1,0,4,15.55,0,15.55,20,0,20
26,3,0,3,12.02,0,12.02,21,0,20
27,2,0,4,7.49,0,7.49,22,0,20
