Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Group, Score, Seq, Reloc, Size(ft)
1, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 802.067810, -0.444203, 354.536407, -81.368408, -179.987534, 179.829498, 10.100000, 0, 10.000000, 0, 0, 0
2, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1286.699951, 1.172036, 121.438507, -4.286993, -0.322394, -0.000066, 6.230000, 0, 6.000000, 0, 0, 0
3, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1049.371094, -1.270350, 214.997238, -89.323318, -71.518753, 71.098831, 15.700000, 0, 15.000000, 0, 0, 0
4, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 551.786621, 0.546593, 114.267639, -0.018811, -0.162411, -0.001983, 7.450000, 0, 7.000000, 0, 0, 0
5, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1981.093628, 0.050059, 437.982910, -51.716515, -0.356440, 0.265839, 20.900000, 0, 20.000000, 0, 0, 0
6, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1623.827637, -0.009639, 159.808990, -51.370872, 0.049739, -0.049150, 11.830000, 0, 11.000000, 0, 0, 0
7, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1803.434204, 0.077251, 297.943817, -51.641212, -0.347360, 0.258458, 19.900000, 0, 19.000000, 0, 0, 0
8, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1506.175659, -0.986657, 364.199493, -49.241070, 0.026489, -0.410032, 20.700001, 0, 20.000000, 0, 0, 0
9, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 2156.506104, 0.107639, 580.802429, -51.700233, -0.403750, 0.301418, 21.450001, 0, 21.000000, 0, 0, 0
10, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 323.581543, 1.528011, 113.245522, 0.091962, -0.196519, -0.006453, 13.250000, 0, 13.000000, 0, 0, 0
11, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1687.312988, -0.865538, 502.453308, -49.873081, -0.355127, -0.145396, 21.410000, 0, 21.000000, 0, 0, 0
12, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 776.558960, 0.163625, 595.047668, -78.768005, 179.934387, 179.839783, 16.639999, 0, 16.000000, 0, 0, 0
13, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1015.794678, -1.875643, 540.698364, -68.222092, 179.873749, 179.897476, 18.820000, 0, 18.000000, 0, 0, 0
14, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1273.935791, -2.597098, 465.985657, 40.200153, -0.389655, -0.271529, 15.900000, 0, 15.000000, 0, 0, 0
15, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 784.195618, -0.437872, 116.157501, -1.868942, -0.176037, 0.011622, 15.710000, 0, 15.000000, 0, 0, 0
