Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.988464, -0.003263, 113.179916, 0.014561, 0.000005, -0.002016, 23.510000, 0, 23.510000, 0, 0, 0
2, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 995.922302, -0.012653, 339.382538, 0.014893, 0.000009, -0.002461, 19.840000, 0, 19.840000, 0, 0, 0
3, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 261.935364, 0.085682, 123.239212, -5.338247, -0.038620, -0.014379, 5.130000, 0, 5.130000, 0, 0, 0
4, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 293.170044, 0.029147, 356.374512, -9.987656, -0.054359, -0.018645, 14.980000, 0, 14.980000, 0, 0, 0
5, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 500.844421, -0.066213, 113.268890, -0.099927, -0.047205, 0.010110, 16.330000, 0, 16.330000, 0, 0, 0
