Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1263.482056, -0.876942, 114.578209, -90.000000, -6.536633, 5.535157, 22.719999, 0, 22.719999, 0, 0, 0
2, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 550.328247, -0.161128, 145.084396, -19.896982, 0.038909, 0.007322, 6.800000, 0, 6.800000, 0, 0, 0
3, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 900.531128, -1.142305, 114.601814, -90.000000, -179.692261, 179.905609, 10.990000, 0, 10.990000, 0, 0, 0
4, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 306.774414, -0.409112, 145.611526, -20.067873, 0.055081, -0.000373, 7.940000, 0, 7.940000, 0, 0, 0
5, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 384.378632, -0.429898, 358.197632, -20.090076, 0.072375, -0.007170, 19.840000, 0, 19.840000, 0, 0, 0
