idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,10.86,0,10.86,1,0,20
2,2,0,0,6.75,0,6.75,2,0,20
3,1,0,1,17.4,0,17.4,3,0,20
4,3,0,0,5.3,0,5.3,4,0,20
5,2,0,1,11.4,0,11.4,5,0,20
6,2,0,2,14.19,0,14.19,6,0,20
7,2,0,3,15.14,0,15.14,7,0,20
8,3,0,1,11.33,0,11.33,8,0,20
9,4,0,0,9.35,0,9.35,9,0,20
10,5,0,0,7.41,0,7.41,10,0,20
11,1,0,2,19.36,0,19.36,11,0,20
12,2,0,4,16.75,0,16.75,12,0,20
13,5,0,1,7.99,0,7.99,13,0,20
14,3,0,2,18.79,0,18.79,14,0,20
15,4,0,1,13.17,0,13.17,15,0,20
16,5,0,2,12.98,0,12.98,16,0,20
17,4,0,2,16.5,0,16.5,17,0,20
18,6,0,0,12.92,0,12.92,18,0,20
19,5,0,3,13.69,0,13.69,19,0,20
20,4,0,3,18.67,0,18.67,20,0,20
21,1,0,3,21.31,0,21.31,21,0,20
22,6,0,1,12.91,0,12.91,22,0,20
23,6,0,2,10.69,0,10.69,23,0,20
