Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 745.640015, -0.013246, 110.615868, -0.202954, -0.007949, -0.003578, 11.160000, 0, 0, 0.000000, 0
2, 745.800049, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 746.353455, -0.016388, 331.867584, -0.135554, -0.023840, -0.010000, 15.290000, 0, 0, 0.000000, 0
3, 745.800049, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 747.025513, -0.093565, 553.367676, -0.057906, -0.000342, -0.016142, 19.840000, 0, 0, 0.000000, 0
4, 994.400024, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 995.594727, 0.005785, 111.128777, -0.944484, 0.007888, 0.002565, 8.140000, 0, 0, 0.000000, 0
5, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 497.309784, 0.003068, 110.841728, -0.139499, 0.002248, 0.001890, 21.559999, 0, 0, 0.000000, 0
6, 1243.000000, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1242.953003, -0.003842, 110.643471, 0.053837, -0.000002, -0.003581, 11.950000, 0, 0, 1.000000, 1
7, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 256.043213, -0.046861, 114.472565, -2.841379, -0.021277, -0.007679, 6.670000, 0, 0, 2.000000, 2
8, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 265.954407, -0.178579, 335.639526, -3.001811, -0.007107, -0.033058, 18.990000, 0, 0, 3.000000, 3
9, 994.400024, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 999.088440, -0.004163, 331.810425, -0.921754, 0.022333, -0.007067, 9.520000, 0, 0, 4.000000, 4
10, 1243.000000, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1242.583862, -0.035489, 331.962097, 0.166022, -0.000010, -0.013479, 12.570000, 0, 0, 5.000000, 5
11, 745.800049, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 778.958801, -0.191897, 775.100647, 0.023255, 0.062148, -0.016384, 23.930000, 0, 0, 6.000000, 6
12, 1243.000000, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1241.804932, -0.103125, 553.396973, 0.247225, -0.000040, -0.021019, 15.250000, 0, 0, 7.000000, 7
13, 994.400024, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1002.741150, -0.029372, 552.730530, -0.621318, 0.026793, -0.019172, 11.360000, 0, 0, 8.000000, 8
14, 248.600006, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 363.773773, -0.419122, 598.604309, -39.513325, 0.031387, -0.038331, 20.190001, 0, 0, 9.000000, 9
15, 248.600006, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 506.071991, -0.527674, 768.437988, -39.424091, 0.120866, -0.097124, 22.730000, 0, 0, 10.000000, 10
16, 1491.600098, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1491.343384, 0.022087, 109.734238, -0.667587, -0.011727, 0.002445, 5.110000, 0, 0, 11.000000, 11
17, 1491.600098, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1493.250732, 0.006911, 330.348022, -0.397870, -0.010365, -0.008845, 15.080000, 0, 0, 12.000000, 12
18, 1491.600098, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1494.582275, -0.038426, 551.432617, -0.358420, -0.010161, -0.014163, 17.309999, 0, 0, 13.000000, 13
19, 1491.600098, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1495.854370, -0.101815, 772.723999, -0.306077, -0.010130, -0.018464, 19.000000, 0, 0, 14.000000, 14
20, 1491.600098, 0.000000, 997.200012, 0.000000, 0.000000, 0.000000, 1497.356201, -0.180088, 994.241760, -0.248842, -0.009769, -0.021676, 20.139999, 0, 0, 15.000000, 15
21, 497.200012, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 499.967590, 0.071489, 332.477905, -0.169942, -0.008851, -0.000416, 22.010000, 0, 0, 16.000000, 16
22, 1243.000000, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1240.771362, -0.191417, 774.963318, 0.278900, -0.000071, -0.024366, 17.139999, 0, 0, 17.000000, 17
23, 994.400024, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1008.805908, -0.105948, 774.562439, -0.618418, 0.060726, -0.028025, 12.600000, 0, 0, 18.000000, 18
