Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.951416, -0.009857, 112.892746, 0.045696, -0.000004, -0.009193, 13.140000, 0, 13.140000, 0, 0, 0
2, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.598267, -0.084671, 338.798187, 0.158842, -0.000049, -0.031216, 16.520000, 0, 16.520000, 0, 0, 0
3, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 256.094604, -0.009871, 118.893684, -3.227416, -0.013297, 0.004386, 14.890000, 0, 14.890000, 0, 0, 0
4, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1492.838745, -0.237796, 564.839355, 0.235662, -0.000099, -0.046536, 20.389999, 0, 20.389999, 0, 0, 0
5, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 268.956024, -0.055641, 344.483368, -3.207857, -0.024789, -0.030925, 16.690001, 0, 16.690001, 0, 0, 0
6, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 281.502808, -0.198919, 570.323303, -3.169970, -0.028100, -0.046043, 21.059999, 0, 21.059999, 0, 0, 0
7, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1491.832642, -0.436483, 791.006226, 0.267432, -0.000120, -0.053440, 20.809999, 0, 20.809999, 0, 0, 0
8, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.970398, -0.004221, 113.035507, 0.050705, 0.000560, -0.006701, 8.670000, 0, 8.670000, 0, 0, 0
9, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 500.626953, -0.111568, 115.053017, -1.633956, 0.029023, -0.003991, 9.230000, 0, 9.230000, 0, 0, 0
10, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 507.280334, -0.138292, 340.462067, -1.660888, 0.005163, -0.026462, 10.000000, 0, 10.000000, 0, 0, 0
11, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 513.883972, -0.195430, 566.209229, -1.443850, -0.025770, -0.041528, 17.580000, 0, 17.580000, 0, 0, 0
12, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.777588, 0.055273, 112.916313, -0.328900, -0.011665, -0.001373, 13.530000, 0, 13.530000, 0, 0, 0
13, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 995.672729, -0.055782, 339.115082, 0.119248, 0.000550, -0.020795, 10.190000, 0, 10.190000, 0, 0, 0
14, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 520.241943, -0.236292, 792.252197, -1.440776, 0.019082, -0.038301, 20.440001, 0, 20.440001, 0, 0, 0
15, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 748.106934, 0.026862, 338.795868, -0.422743, -0.009459, -0.022529, 15.010000, 0, 15.010000, 0, 0, 0
16, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 749.661255, -0.093597, 564.746582, -0.409424, 0.004466, -0.032768, 19.290001, 0, 19.290001, 0, 0, 0
17, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 751.320618, -0.269067, 790.848389, -0.381120, 0.015968, -0.035355, 20.090000, 0, 20.090000, 0, 0, 0
18, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 995.145996, -0.149845, 565.296936, 0.138155, 0.000561, -0.026090, 14.120000, 0, 14.120000, 0, 0, 0
19, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.970703, -0.006575, 113.158875, 0.038353, 0.000001, -0.004747, 5.960000, 0, 5.960000, 0, 0, 0
20, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.802246, -0.029578, 339.361572, 0.036929, 0.000025, -0.006309, 9.280000, 0, 9.280000, 0, 0, 0
