Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Group, Score, Seq, Reloc, Size(ft)
1, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1496.876953, -0.247280, 114.633385, -90.000000, -178.303253, 178.473938, 8.640000, 0, 8.000000, 0, 0, 0
2, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 539.987610, -0.141237, 132.124481, -11.532554, 0.001543, -0.041317, 8.400000, 0, 8.000000, 0, 0, 0
3, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 614.572937, -0.228998, 364.314758, -21.551142, -0.053105, -0.000916, 10.910000, 0, 10.000000, 0, 0, 0
4, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 2060.616455, -0.801313, 131.818375, -80.476730, 0.145763, 0.106917, 19.030001, 0, 19.000000, 0, 0, 0
5, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1760.396851, -0.612644, 114.891472, -89.811760, 179.561813, 179.670944, 14.980000, 0, 14.000000, 0, 0, 0
6, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 307.196289, -2.027920, 136.735641, -11.495661, 0.017811, 0.528240, 8.090000, 0, 8.000000, 0, 0, 0
7, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 699.305725, -0.798937, 574.069763, -21.451256, -0.017141, -0.053764, 14.950000, 0, 14.000000, 0, 0, 0
8, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 782.849487, -0.180683, 138.131729, -15.422998, -0.008003, 0.021976, 7.020000, 0, 7.000000, 0, 0, 0
9, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 371.639954, -0.446106, 373.061096, -21.540241, -0.021934, 0.486224, 19.820000, 0, 19.000000, 0, 0, 0
10, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 455.078033, 1.572255, 583.378357, -21.540005, -0.047026, 0.478120, 20.680000, 0, 20.000000, 0, 0, 0
11, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 861.636108, -0.287726, 361.935547, -21.592087, -0.018880, 0.010115, 13.670000, 0, 13.000000, 0, 0, 0
12, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1039.739502, -0.002798, 144.417694, -19.768181, 0.026006, 0.008997, 8.850000, 0, 8.000000, 0, 0, 0
13, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1116.305298, 0.024383, 356.798767, -19.736219, 0.011248, 0.000718, 12.100000, 0, 12.000000, 0, 0, 0
14, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 2347.777588, -0.190898, 130.241425, -81.537231, 0.219653, -0.348814, 19.780001, 0, 19.000000, 0, 0, 0
15, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 782.711670, -0.887570, 784.272400, -21.532513, -0.082494, -0.012138, 17.500000, 0, 17.000000, 0, 0, 0
16, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 539.557373, 4.957201, 793.180115, -21.596395, -0.003521, 0.465471, 22.570000, 0, 22.000000, 0, 0, 0
17, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 945.233276, -0.330715, 572.066406, -21.607727, -0.053170, 0.024454, 17.090000, 0, 17.000000, 0, 0, 0
18, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1192.741333, 0.105679, 569.499573, -19.719770, 0.019410, 0.026485, 13.630000, 0, 13.000000, 0, 0, 0
19, 1245.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 2617.242432, 0.580825, 139.077759, -76.000404, -0.066144, 0.036626, 20.389999, 0, 20.000000, 0, 0, 0
20, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1264.250000, -1.633634, 784.102783, -19.670614, -1.044915, 0.377960, 14.990000, 0, 14.000000, 0, 0, 0
