idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,16.15,0,16.15,1,0,20
2,2,0,0,11.36,0,11.36,2,1.0,20
3,2,0,1,5.6,0,5.6,3,1.0,20
4,2,0,2,17.79,0,17.79,4,1.0,20
5,2,0,3,20.83,0,20.83,5,1.0,20
6,3,0,0,16.52,0,16.52,6,1.0,20
7,3,0,1,16.05,0,16.05,7,1.0,20
8,5,0,0,23.71,0,23.71,8,0,20
9,1,0,0,5.47,0,5.47,9,0,20
10,1,0,1,7.41,0,7.41,10,0,20
11,4,0,1,22.39,0,22.39,11,1.0,20
12,3,0,2,8.79,0,8.79,12,1.0,20
13,3,0,3,19.86,0,19.86,13,1.0,20
14,4,0,2,10.09,0,10.09,14,1.0,20
15,1,0,2,9.6,0,9.6,15,0,20
