idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,4,0,4,23.89,0.0,0.0,2,20
2.0,2,0,2,9.91,0.0,0.0,1,20
3.0,4,0,0,21.22,0.0,0.0,0,20
4.0,5,0,0,21.71,0.0,0.0,0,20
5.0,3,0,0,8.98,0.0,0.0,2,20
6.0,5,0,1,14.15,0.0,0.0,0,20
7.0,5,0,2,20.11,0.0,0.0,0,20
8.0,3,0,1,11.45,0.0,0.0,1,20
9.0,4,0,2,18.79,0.0,0.0,1,20
10.0,3,0,2,15.07,0.0,0.0,2,20
11.0,4,0,1,23.18,1.0,0.0,0,20
12.0,4,0,3,19.3,2.0,0.0,0,20
13.0,2,0,0,9.16,3.0,0.0,0,20
14.0,3,0,3,15.05,4.0,0.0,0,20
15.0,5,0,3,18.95,5.0,0.0,0,20
16.0,3,0,4,11.76,6.0,0.0,0,20
17.0,2,0,1,8.26,7.0,0.0,0,20
18.0,2,0,4,18.76,8.0,0.0,1,20
19.0,1,0,0,5.47,9.0,0.0,0,20
20.0,2,0,3,14.31,10.0,0.0,0,20
21.0,5,0,4,19.11,11.0,0.0,0,20
22.0,1,0,2,8.79,12.0,0.0,1,20
23.0,1,0,1,6.49,13.0,0.0,0,20
24.0,1,0,3,8.63,14.0,0.0,0,20
25.0,6,0,0,21.15,15.0,0.0,0,20
