idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,5,0,0,13.42,0.0,0.0,0,20
2.0,6,0,0,6.79,0.0,0.0,0,20
3.0,5,0,2,23.93,0.0,0.0,1,20
4.0,1,0,2,13.51,0.0,0.0,1,20
5.0,1,0,1,7.39,0.0,0.0,1,20
6.0,6,0,1,13.33,0.0,0.0,0,20
7.0,1,0,0,11.02,0.0,0.0,1,20
8.0,6,0,2,18.38,0.0,0.0,0,20
9.0,5,0,1,12.31,0.0,0.0,0,20
10.0,1,0,3,10.88,0.0,0.0,1,20
11.0,4,0,0,12.02,1.0,0.0,0,20
12.0,3,0,4,22.38,2.0,0.0,1,20
13.0,2,0,0,8.62,3.0,0.0,0,20
14.0,4,0,2,17.6,4.0,0.0,1,20
15.0,4,0,3,22.63,5.0,0.0,1,20
16.0,3,0,0,11.22,6.0,0.0,0,20
17.0,4,0,1,12.97,7.0,0.0,0,20
18.0,1,0,4,15.24,8.0,0.0,0,20
19.0,4,0,4,19.95,9.0,0.0,0,20
20.0,3,0,3,17.95,10.0,0.0,1,20
21.0,2,0,1,10.61,11.0,0.0,0,20
22.0,3,0,1,10.89,12.0,0.0,0,20
23.0,3,0,2,21.7,13.0,0.0,0,20
24.0,5,0,3,23.25,14.0,0.0,0,20
25.0,2,0,2,12.32,15.0,0.0,0,20
