idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,5,0,2,23.23,0.0,0.0,2,20
2.0,6,0,0,15.09,0.0,0.0,0,20
3.0,2,0,2,7.61,0.0,0.0,2,20
4.0,3,0,1,10.73,0.0,0.0,1,20
5.0,2,0,1,11.4,0.0,0.0,1,20
6.0,4,0,2,15.96,0.0,0.0,2,20
7.0,5,0,0,20.99,0.0,0.0,1,20
8.0,2,0,0,8.17,0.0,0.0,1,20
9.0,4,0,0,10.6,0.0,0.0,2,20
10.0,4,0,4,23.5,0.0,0.0,2,20
11.0,3,0,0,7.96,1.0,0.0,0,20
12.0,3,0,4,21.09,2.0,0.0,1,20
13.0,6,0,1,21.88,3.0,0.0,1,20
14.0,1,0,0,5.25,4.0,0.0,0,20
15.0,1,0,1,6.22,5.0,0.0,0,20
16.0,4,0,3,20.11,6.0,0.0,1,20
17.0,2,0,3,11.1,7.0,0.0,0,20
18.0,5,0,1,18.73,8.0,0.0,0,20
19.0,4,0,1,11.26,9.0,0.0,0,20
20.0,2,0,4,13.76,10.0,0.0,0,20
21.0,1,0,3,8.2,11.0,0.0,1,20
22.0,1,0,4,10.41,12.0,0.0,0,20
23.0,3,0,2,11.66,13.0,0.0,0,20
24.0,1,0,2,7.01,14.0,0.0,0,20
25.0,3,0,3,6.01,15.0,0.0,0,20
