idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,3,0,1,11.17,0.0,0.0,2,20
2.0,6,0,0,10.62,0.0,0.0,0,20
3.0,4,0,4,22.97,0.0,0.0,2,20
4.0,1,0,1,8.7,0.0,0.0,1,20
5.0,5,0,0,15.24,0.0,0.0,1,20
6.0,6,0,1,21.35,0.0,0.0,0,20
7.0,6,0,2,20.57,0.0,0.0,1,20
8.0,4,0,3,20.33,0.0,0.0,2,20
9.0,1,0,0,7.11,0.0,0.0,1,20
10.0,4,0,0,11.79,0.0,0.0,0,20
11.0,3,0,0,8.64,1.0,0.0,0,20
12.0,1,0,2,6.36,2.0,0.0,0,20
13.0,1,0,3,11.59,3.0,0.0,0,20
14.0,2,0,0,8.76,4.0,0.0,0,20
15.0,4,0,1,12.36,5.0,0.0,0,20
16.0,4,0,2,17.3,6.0,0.0,0,20
17.0,3,0,4,19.47,7.0,0.0,1,20
18.0,5,0,1,14.75,8.0,0.0,0,20
19.0,1,0,4,10.8,9.0,0.0,0,20
20.0,2,0,1,8.84,10.0,0.0,0,20
21.0,5,0,2,17.57,11.0,0.0,0,20
22.0,2,0,2,11.29,12.0,0.0,0,20
23.0,3,0,3,15.83,13.0,0.0,1,20
24.0,3,0,2,13.77,14.0,0.0,0,20
25.0,2,0,3,14.21,15.0,0.0,0,20
