idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,4,0,1,13.37,0.0,0.0,1,20
2.0,6,0,0,15.97,0.0,0.0,0,20
3.0,4,0,0,13.86,0.0,0.0,1,20
4.0,1,0,1,6.89,0.0,0.0,1,20
5.0,1,0,4,14.46,0.0,0.0,1,20
6.0,4,0,4,21.95,0.0,0.0,2,20
7.0,1,0,2,11.5,0.0,0.0,1,20
8.0,5,0,2,20.95,0.0,0.0,2,20
9.0,5,0,0,14.03,0.0,0.0,1,20
10.0,1,0,0,10.56,0.0,0.0,1,20
11.0,1,0,3,11.54,1.0,0.0,0,20
12.0,6,0,1,21.62,2.0,0.0,0,20
13.0,2,0,0,5.32,3.0,0.0,0,20
14.0,2,0,1,6.38,4.0,0.0,0,20
15.0,4,0,2,18.6,5.0,0.0,0,20
16.0,4,0,3,18.15,6.0,0.0,0,20
17.0,5,0,1,19.04,7.0,0.0,0,20
18.0,2,0,2,7.77,8.0,0.0,0,20
19.0,3,0,0,9.94,9.0,0.0,0,20
20.0,3,0,4,17.93,10.0,0.0,1,20
21.0,3,0,1,9.61,11.0,0.0,0,20
22.0,3,0,3,17.7,12.0,0.0,1,20
23.0,3,0,2,10.93,13.0,0.0,0,20
24.0,5,0,3,15.9,14.0,0.0,0,20
25.0,6,0,2,19.52,15.0,0.0,0,20
