idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,3,0,3,17.08,0.0,0.0,2,20
2.0,1,0,1,8.56,0.0,0.0,1,20
3.0,3,0,0,9.23,0.0,0.0,0,20
4.0,5,0,0,15.2,0.0,0.0,0,20
5.0,6,0,1,17.96,0.0,0.0,1,20
6.0,6,0,0,23.97,0.0,0.0,1,20
7.0,5,0,3,18.96,0.0,0.0,1,20
8.0,1,0,0,7.96,0.0,0.0,1,20
9.0,5,0,1,11.68,0.0,0.0,0,20
10.0,5,0,2,21.23,0.0,0.0,1,20
11.0,3,0,4,21.81,1.0,0.0,1,20
12.0,3,0,1,18.2,2.0,0.0,0,20
13.0,3,0,2,13.3,3.0,0.0,0,20
14.0,5,0,4,18.91,4.0,0.0,0,20
15.0,6,0,2,23.17,5.0,0.0,0,20
16.0,4,0,3,22.61,6.0,0.0,1,20
17.0,4,0,1,15.35,7.0,0.0,1,20
18.0,2,0,0,6.95,8.0,0.0,0,20
19.0,4,0,0,11.69,9.0,0.0,0,20
20.0,2,0,1,6.62,10.0,0.0,0,20
21.0,2,0,2,9.74,11.0,0.0,0,20
22.0,1,0,2,7.85,12.0,0.0,0,20
23.0,1,0,3,10.36,13.0,0.0,0,20
24.0,4,0,2,15.51,14.0,0.0,0,20
25.0,1,0,4,11.33,15.0,0.0,0,20
