idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1,5,0,0,19.63,0,0,0,20
2,3,0,3,19.43,0,0,2,20
3,4,0,0,11.26,0,0,2,20
4,3,0,4,13.86,0,0,2,20
5,6,0,0,19,0,0,0,20
6,6,0,1,17.53,0,0,0,20
7,5,0,1,12.48,0,0,0,20
8,3,0,0,8.3,0,0,2,20
9,6,0,2,11.75,0,0,0,20
10,5,0,2,16.87,0,0,1,20
11,3,0,2,15.73,1,0,1,20
12,3,0,1,8.41,2,0,0,20
13,4,0,1,17.78,3,0,0,20
14,4,0,2,20.87,4,0,0,20
15,4,0,3,13.98,5,0,0,20
16,2,0,2,9.38,6,0,1,20
17,1,0,0,5.94,7,0,0,20
18,2,0,1,7.59,8,0,1,20
19,2,0,3,14.44,9,0,1,20
20,2,0,0,5.01,10,0,0,20
21,2,0,4,15.16,11,0,0,20
22,6,0,3,9.06,12,0,0,20
23,1,0,1,6.11,13,0,1,20
24,4,0,4,19.17,14,0,0,20
25,1,0,2,7,15,0,0,20
