Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Group, Score, Seq, Reloc, Size(ft)
1, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 288.842102, -0.084918, 130.394974, -9.129871, -0.013297, -0.063969, 16.549999, 0, 16.000000, 0, 0, 0
2, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 520.900696, -0.058076, 128.965057, -9.235808, -0.060528, 0.067899, 11.860000, 0, 11.000000, 0, 0, 0
3, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 327.099579, -0.180283, 354.307434, -9.827684, -0.029510, 0.023965, 22.920000, 0, 22.000000, 0, 0, 0
4, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 559.872253, -0.256905, 351.915131, -9.588802, -0.011164, -0.056080, 19.900000, 0, 19.000000, 0, 0, 0
5, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 795.319824, 0.098728, 146.176147, -21.844393, -0.070392, 0.007734, 7.230000, 0, 7.000000, 0, 0, 0
6, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 880.117065, 0.218347, 355.566772, -21.867376, -0.163794, 0.097308, 17.799999, 0, 17.000000, 0, 0, 0
7, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1044.519897, 0.124374, 146.577423, -21.763708, -0.058149, -0.011945, 12.390000, 0, 12.000000, 0, 0, 0
8, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1292.993896, 0.011293, 146.576782, -21.560493, -0.003106, -0.016312, 11.320000, 0, 11.000000, 0, 0, 0
9, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 366.394897, -0.389205, 577.249573, -9.781823, 0.001515, 0.043500, 23.930000, 0, 23.000000, 0, 0, 0
10, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1540.172607, 0.222562, 145.316895, -21.251772, -0.039499, -0.047120, 5.460000, 0, 5.000000, 0, 0, 0
11, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1128.883301, -0.043363, 355.890808, -21.766834, 0.017196, 0.011084, 13.600000, 0, 13.000000, 0, 0, 0
12, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1213.096924, -0.012698, 565.645325, -21.620514, -0.020300, -0.029856, 17.040001, 0, 17.000000, 0, 0, 0
13, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1296.922485, -0.208068, 775.568787, -21.655870, -0.038326, -0.027578, 17.730000, 0, 17.000000, 0, 0, 0
14, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1623.104614, 0.068916, 355.471283, -21.491173, -0.038516, -0.063166, 8.540000, 0, 8.000000, 0, 0, 0
15, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 964.564575, 0.281294, 565.120605, -21.796143, -0.176103, 0.064133, 18.090000, 0, 18.000000, 0, 0, 0
16, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1706.413818, -0.087731, 565.341492, -21.621046, -0.057306, -0.017325, 8.580000, 0, 8.000000, 0, 0, 0
17, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1049.769775, 0.485611, 774.843750, -21.565208, -0.031013, 0.023191, 19.299999, 0, 19.000000, 0, 0, 0
18, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1376.549194, 0.040302, 356.441193, -21.458229, -0.013174, 0.057479, 16.100000, 0, 16.000000, 0, 0, 0
19, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1789.941284, -0.183866, 775.270142, -21.662317, -0.069618, -0.001151, 15.090000, 0, 15.000000, 0, 0, 0
20, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 598.350159, -0.702381, 574.942383, -9.648038, -0.047458, -0.029488, 21.120001, 0, 21.000000, 0, 0, 0
21, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1460.249512, 0.175070, 566.503357, -21.636198, -0.035602, 0.067170, 12.330000, 0, 12.000000, 0, 0, 0
22, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1543.757202, 0.326320, 776.637817, -21.614605, -0.040518, 0.040378, 11.620000, 0, 11.000000, 0, 0, 0
23, 1245.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1627.458618, 0.866744, 986.740479, -21.651155, -0.056777, 0.054077, 5.810000, 0, 5.000000, 0, 0, 0
24, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1133.687500, 0.219312, 984.957275, -21.636198, -0.037917, 0.026130, 19.889999, 0, 19.000000, 0, 0, 0
25, 1494.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1873.702026, -0.271247, 985.329224, -21.647902, -0.026907, 0.003949, 16.790001, 0, 16.000000, 0, 0, 0
26, 996.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1380.373291, -0.453382, 985.803284, -21.625847, -0.039075, -0.033151, 11.770000, 0, 11.000000, 0, 0, 0
27, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 836.931030, 0.469873, 859.145996, -21.544058, -0.029014, 0.023201, 8.660000, 0, 8.000000, 0, 0, 0
