Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.995239, -0.001680, 113.182068, 0.005631, 0.000005, -0.001016, 14.840000, 0, 14.840000, 0, 0, 0
2, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 509.044159, 0.025084, 123.149414, -5.394423, -0.005137, -0.005328, 11.630000, 0, 11.630000, 0, 0, 0
3, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 266.233246, -0.070018, 127.255554, -7.679278, -0.004324, -0.016244, 8.700000, 0, 8.700000, 0, 0, 0
4, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.984924, -0.003981, 113.177284, 0.019265, 0.000006, -0.002545, 21.860001, 0, 21.860001, 0, 0, 0
5, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 296.470459, -0.212084, 351.233032, -7.729545, -0.021764, -0.038590, 7.080000, 0, 7.080000, 0, 0, 0
6, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 530.888611, -0.006089, 348.235565, -5.483500, -0.019698, -0.028700, 14.410000, 0, 14.410000, 0, 0, 0
7, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 747.828247, -0.030577, 113.341171, -0.195612, -0.003172, 0.012354, 13.660000, 0, 13.660000, 0, 0, 0
8, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 333.414825, -0.349573, 581.330750, -11.330463, -0.018932, -0.039314, 11.690000, 0, 11.690000, 0, 0, 0
9, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 995.898071, -0.015995, 339.380371, 0.019205, 0.000013, -0.003181, 21.980000, 0, 21.980000, 0, 0, 0
10, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 377.869293, -0.541973, 803.032349, -11.250929, -0.033157, -0.043569, 14.990000, 0, 14.990000, 0, 0, 0
