Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Group, Score, Seq, Reloc, Size(ft)
1, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 962.789307, 0.301511, 565.901855, -21.204456, -0.059410, -0.011739, 17.260000, 0, 17.000000, 0, 0, 0
2, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1540.898071, 0.031130, 145.714508, -20.631765, -0.005706, 0.006014, 8.520000, 0, 8.000000, 0, 0, 0
3, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1044.923706, 0.101813, 776.898560, -21.154890, 0.008405, -0.041930, 19.889999, 0, 19.000000, 0, 0, 0
4, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 795.274170, 0.006544, 146.465775, -21.374500, 0.028015, 0.006158, 17.049999, 0, 17.000000, 0, 0, 0
5, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 878.930847, 0.195280, 356.243042, -21.526575, -0.037477, 0.050893, 13.400000, 0, 13.000000, 0, 0, 0
6, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1620.653076, -0.013801, 357.293518, -20.575880, -0.002635, -0.029035, 21.650000, 0, 21.000000, 0, 0, 0
7, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 282.546448, -0.170469, 122.775795, -4.909658, -0.003319, -0.004748, 17.580000, 0, 17.000000, 0, 0, 0
8, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 512.294006, -0.031678, 121.871010, -4.862126, 0.017899, -0.004980, 14.930000, 0, 14.000000, 0, 0, 0
9, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1043.118164, 0.058380, 145.575974, -21.400574, -0.090478, 0.026986, 9.100000, 0, 9.000000, 0, 0, 0
10, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1126.294189, 0.187735, 355.003082, -21.254599, -0.049571, 0.096592, 11.950000, 0, 11.000000, 0, 0, 0
11, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1208.468506, 0.420739, 565.287903, -21.151234, -0.006930, 0.018557, 14.550000, 0, 14.000000, 0, 0, 0
12, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 584.153015, 0.134761, 373.992004, -25.305847, 0.004852, -0.030873, 15.920000, 0, 15.000000, 0, 0, 0
13, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1107.515259, -0.273262, 1033.065552, 1.404575, 0.009605, -0.036371, 20.889999, 0, 20.000000, 0, 0, 0
14, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 302.204987, -0.439701, 348.131012, -4.920588, 0.012385, -0.014301, 23.090000, 0, 23.000000, 0, 0, 0
15, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 708.864441, 0.332439, 565.335999, -25.143223, -0.067201, -0.022666, 17.010000, 0, 17.000000, 0, 0, 0
16, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 800.927063, -0.037409, 781.219055, -21.216692, -0.057220, -0.179888, 17.129999, 0, 17.000000, 0, 0, 0
17, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1290.256470, 0.358109, 775.983826, -21.066990, 0.006528, -0.041326, 16.559999, 0, 16.000000, 0, 0, 0
18, 498.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 863.715759, -0.665157, 1026.233032, -6.753090, 0.038431, -0.224233, 18.570000, 0, 18.000000, 0, 0, 0
19, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1291.994385, -0.030128, 146.159698, -21.159300, 0.079562, -0.047557, 9.780000, 0, 9.000000, 0, 0, 0
20, 996.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1372.528442, 0.211649, 986.752686, -21.189888, -0.013860, -0.024031, 20.030001, 0, 20.000000, 0, 0, 0
21, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1373.557983, 0.161582, 356.919220, -21.018425, -0.019430, 0.057791, 20.959999, 0, 20.000000, 0, 0, 0
22, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1455.262207, 0.299448, 567.705811, -21.053633, 0.000507, 0.040949, 12.230000, 0, 12.000000, 0, 0, 0
23, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1542.562378, 0.240603, 776.508850, -21.046036, 0.009270, 0.025102, 6.160000, 0, 6.000000, 0, 0, 0
