idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,19.23,0,19.23,1,0,20
2,4,0,0,23.33,0,23.33,2,1.0,20
3,3,0,0,17.2,0,17.2,3,0,20
4,6,0,1,19.83,0,19.83,4,0,20
5,4,0,1,19.46,0,19.46,5,1.0,20
6,4,0,2,18.67,0,18.67,6,1.0,20
7,6,0,2,20.41,0,20.41,7,0,20
8,3,0,1,18.05,0,18.05,8,0,20
9,6,0,3,22.87,0,22.87,9,0,20
10,5,0,0,12.13,0,12.13,10,0,20
11,2,0,0,10.58,0,10.58,11,0,20
12,2,0,1,11.08,0,11.08,12,0,20
13,3,0,2,19.24,0,19.24,13,0,20
14,5,0,1,13.91,0,13.91,14,0,20
15,2,0,2,12.55,0,12.55,15,0,20
16,2,0,3,17.93,0,17.93,16,0,20
17,5,0,2,20.3,0,20.3,17,0,20
18,6,0,4,23.97,0,23.97,18,0,20
19,1,0,0,9.85,0,9.85,19,0,20
20,1,0,1,12.08,0,12.08,20,0,20
21,4,0,3,5.33,0,5.33,21,1.0,20
22,1,0,2,12.62,0,12.62,22,0,20
23,1,0,3,19.03,0,19.03,23,0,20
24,5,0,3,21.81,0,21.81,24,0,20
25,2,0,4,18.6,0,18.6,25,0,20
26,5,0,4,22.7,0,22.7,26,0,20
27,3,0,3,20.72,0,20.72,27,0,20
