idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,14.55,0,14.55,0,0,20
2,6,0,0,15.06,0,15.06,0,0,20
3,4,0,0,11.57,0,11.57,0,0,20
4,6,0,1,22.9,0,22.9,0,0,20
5,3,0,0,5.97,0,5.97,0,0,20
6,5,0,0,8.81,0,8.81,1,0,20
7,4,0,1,14.1,0,14.1,2,0,20
8,4,0,2,17.18,0,17.18,3,0,20
9,4,0,3,19.45,0,19.45,4,0,20
10,5,0,1,14.06,0,14.06,5,0,20
11,1,0,1,20.1,0,20.1,6,0,20
12,1,0,2,22.58,0,22.58,7,0,20
13,2,0,0,5.71,0,5.71,8,0,20
14,3,0,1,8.98,0,8.98,9,0,20
15,3,0,2,17.83,0,17.83,10,0,20
16,4,0,4,22.29,0,22.29,11,0,20
17,5,0,2,15.48,0,15.48,12,0,20
18,2,0,1,11.21,0,11.21,13,0,20
19,3,0,3,20.22,0,20.22,14,0,20
20,2,0,2,15.04,0,15.04,15,0,20
