Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 498.123535, 0.034003, 113.163849, 0.013659, -0.028216, -0.003330, 18.160000, 0, 18.160000, 0, 0, 0
2, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 498.332184, 0.048868, 339.382843, 0.012928, -0.074466, -0.005853, 21.040001, 0, 21.040001, 0, 0, 0
3, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 268.484924, 0.275545, 113.100517, -0.154607, -0.078478, -0.000516, 8.760000, 0, 8.760000, 0, 0, 0
4, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 268.924957, 0.245239, 339.287506, -0.211863, -0.077054, 0.010029, 12.860000, 0, 12.860000, 0, 0, 0
5, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.995178, -0.001680, 113.182068, 0.005631, 0.000005, -0.001016, 21.490000, 0, 21.490000, 0, 0, 0
