Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 994.400024, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1001.735657, -0.009269, 117.713470, -3.836841, -0.000292, 0.003813, 13.120000, 0, 0, 0.000000, 0
2, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 497.270630, -0.011075, 110.856552, -0.042337, 0.008254, -0.003396, 17.930000, 0, 0, 0.000000, 0
3, 994.400024, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1017.233643, 0.001039, 338.364502, -3.914360, -0.031282, 0.009259, 7.970000, 0, 0, 0.000000, 0
4, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 268.057495, 0.024400, 110.888664, -0.224600, -0.017071, -0.005777, 13.330000, 0, 0, 0.000000, 0
5, 1491.600098, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1491.597900, -0.001328, 110.882294, 0.004879, 0.000009, -0.000726, 21.770000, 0, 0, 0.000000, 0
6, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 756.401184, -0.003972, 120.384758, -5.468275, 0.008406, -0.004975, 7.720000, 0, 0, 0.000000, 0
7, 497.200012, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 497.734711, -0.010077, 332.463165, -0.048112, -0.013122, -0.002230, 15.670000, 0, 0, 0.000000, 0
8, 1243.000000, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1247.028564, -0.026195, 114.318947, -2.287225, -0.007044, -0.002464, 9.500000, 0, 0, 1.000000, 1
9, 745.800049, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 777.686646, -0.003544, 340.711395, -5.395030, -0.002837, -0.014269, 11.360000, 0, 0, 2.000000, 2
10, 745.800049, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 800.610168, -0.060967, 561.125366, -5.380567, -0.032428, -0.012757, 11.630000, 0, 0, 3.000000, 3
11, 745.800049, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 821.337158, -0.136650, 781.876709, -5.383605, -0.035691, -0.023456, 12.190000, 0, 0, 4.000000, 4
12, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 268.819061, 0.050161, 332.508148, -0.211840, -0.013847, 0.006672, 21.709999, 0, 0, 5.000000, 5
13, 1243.000000, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1256.013672, -0.027578, 335.369873, -2.214190, -0.031290, -0.009672, 14.420000, 0, 0, 6.000000, 6
14, 1243.000000, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1264.502319, -0.085879, 556.691589, -2.102867, -0.032006, -0.014129, 20.510000, 0, 0, 7.000000, 7
15, 994.400024, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1032.826538, -0.016079, 559.270874, -3.662158, -0.032401, 0.009550, 11.050000, 0, 0, 8.000000, 8
