idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,17.72,0,17.72,0,0.9999999999999716,20
2,5,0,0,12.05,0,12.05,0,1.0,20
3,5,0,1,9.22,0,9.22,0,1.0,20
4,2,0,0,11.06,0,11.06,1,1.0,20
5,4,0,1,17.55,0,17.55,2,1.0,20
6,1,0,0,5.2,0,5.2,3,0,20
7,2,0,1,7.17,0,7.17,4,1.0,20
8,1,0,1,7.96,0,7.96,5,1.0,20
9,1,0,2,5.76,0,5.76,6,1.0,20
10,4,0,2,17.95,0,17.95,7,1.0,20
11,6,0,0,19.25,0,19.25,8,0,20
12,1,0,3,17.07,0,17.07,9,1.0,20
13,3,0,0,12.52,0,12.52,10,0,20
14,3,0,1,12.66,0,12.66,11,0,20
15,2,0,2,7.25,0,7.25,12,1.0,20
