Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.967896, -0.007054, 113.153641, 0.042104, 0.000001, -0.005198, 5.790000, 0, 5.790000, 0, 0, 0
2, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 275.997498, 0.111145, 119.286194, -3.231403, -0.019861, 0.013516, 5.960000, 0, 5.960000, 0, 0, 0
3, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.783447, -0.032348, 339.355835, 0.040611, 0.000024, -0.006984, 9.640000, 0, 9.640000, 0, 0, 0
4, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.984497, -0.006712, 113.089401, 0.021666, 0.000009, -0.006865, 15.490000, 0, 15.490000, 0, 0, 0
5, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 505.255768, -0.003652, 119.067223, -3.306605, -0.016316, -0.014680, 16.900000, 0, 16.900000, 0, 0, 0
6, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.845459, -0.049639, 339.217377, 0.062388, -0.000020, -0.015280, 17.870001, 0, 17.870001, 0, 0, 0
7, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1244.560913, -0.118421, 565.405273, 0.076698, -0.000025, -0.018680, 16.469999, 0, 16.469999, 0, 0, 0
8, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 747.079651, 0.004103, 112.958580, -0.210442, -0.004652, 0.003407, 21.370001, 0, 21.370001, 0, 0, 0
9, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 996.082825, 0.000886, 113.053833, -0.201041, 0.007632, 0.005173, 21.870001, 0, 21.870001, 0, 0, 0
10, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 753.271362, -0.011635, 343.753876, -3.032507, -0.018296, -0.014135, 13.230000, 0, 13.230000, 0, 0, 0
11, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 290.168823, 0.198712, 345.866180, -3.857704, -0.016825, 0.043805, 8.000000, 0, 8.000000, 0, 0, 0
12, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 766.201721, -0.136256, 569.951233, -3.503179, -0.029600, -0.037842, 14.590000, 0, 14.590000, 0, 0, 0
13, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 997.430664, 0.007373, 339.435028, -0.454776, -0.008787, -0.001168, 16.809999, 0, 16.809999, 0, 0, 0
14, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 780.390259, -0.238662, 795.785034, -3.701288, -0.029395, -0.040092, 19.090000, 0, 19.090000, 0, 0, 0
15, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 802.091187, -0.344002, 1021.025269, -3.682816, -0.104901, -0.025987, 17.950001, 0, 17.950001, 0, 0, 0
16, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 305.073578, 0.276168, 571.486389, -3.823118, -0.023791, 0.028453, 13.640000, 0, 13.640000, 0, 0, 0
17, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 519.817017, -0.061580, 344.881439, -3.648069, -0.021789, 0.000747, 10.920000, 0, 10.920000, 0, 0, 0
18, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1000.975037, -0.146976, 566.001221, -0.659310, -0.026064, 0.005729, 16.750000, 0, 16.750000, 0, 0, 0
19, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 534.583984, -0.205590, 570.388062, -3.701787, -0.024920, -0.033309, 11.950000, 0, 11.950000, 0, 0, 0
20, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 550.926941, -0.304740, 795.946045, -3.702220, -0.030994, -0.029249, 12.690000, 0, 12.690000, 0, 0, 0
