idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,2,0,0,14.01,0.0,0.0,0,20
2.0,1,0,0,13.97,0.0,0.0,0,20
3.0,1,0,1,21.8,0.0,0.0,0,20
4.0,2,0,3,6.95,0.0,0.0,1,20
5.0,2,0,2,11.57,0.0,0.0,1,20
6.0,5,0,0,16.8,0.0,0.0,0,20
7.0,1,0,2,15.58,0.0,0.0,0,20
8.0,1,0,3,8.21,0.0,0.0,0,20
9.0,2,0,1,6.68,0.0,0.0,1,20
10.0,5,0,1,18.81,0.0,0.0,0,20
11.0,5,0,2,16.16,0.0,0.0,0,20
12.0,4,0,3,22.29,0.0,0.0,2,20
13.0,3,0,3,18.8,0.0,0.0,1,20
14.0,6,0,0,10.56,0.0,0.0,0,20
15.0,6,0,1,20.52,0.0,0.0,1,20
16.0,4,0,2,18.92,1.0,0.0,1,20
17.0,4,0,4,23.46,2.0,0.0,1,20
18.0,4,0,0,7.04,3.0,0.0,0,20
19.0,4,0,1,6.88,4.0,0.0,0,20
20.0,6,0,2,22.56,5.0,0.0,0,20
21.0,2,0,4,14.08,6.0,0.0,0,20
22.0,3,0,4,21.35,7.0,0.0,1,20
23.0,3,0,1,12.64,8.0,0.0,1,20
24.0,3,0,2,16.01,9.0,0.0,0,20
25.0,3,0,0,10.19,10.0,0.0,0,20
