idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,4,0,2,14.68,0.0,0.0,2,20
2.0,4,0,1,13.82,0.0,0.0,2,20
3.0,6,0,0,11.04,0.0,0.0,0,20
4.0,4,0,0,13.92,0.0,0.0,0,20
5.0,4,0,4,23.56,0.0,0.0,2,20
6.0,1,0,0,6.94,0.0,0.0,0,20
7.0,1,0,2,6.67,0.0,0.0,1,20
8.0,5,0,1,15.53,0.0,0.0,1,20
9.0,1,0,1,7.68,0.0,0.0,1,20
10.0,5,0,2,23.5,0.0,0.0,2,20
11.0,2,0,0,10.77,0.0,0.0,1,20
12.0,2,0,1,6.79,0.0,0.0,1,20
13.0,5,0,0,9.74,0.0,0.0,0,20
14.0,3,0,3,16.29,0.0,0.0,1,20
15.0,3,0,1,10.8,0.0,0.0,1,20
16.0,3,0,0,9.08,1.0,0.0,0,20
17.0,4,0,3,18.01,2.0,0.0,0,20
18.0,6,0,1,21.28,3.0,0.0,1,20
19.0,3,0,2,11.2,4.0,0.0,0,20
20.0,3,0,4,15.68,5.0,0.0,0,20
21.0,2,0,2,8.98,6.0,0.0,0,20
22.0,2,0,3,11.98,7.0,0.0,0,20
23.0,2,0,4,15.16,8.0,0.0,0,20
24.0,5,0,3,15.49,9.0,0.0,0,20
25.0,1,0,3,8.21,10.0,0.0,0,20
