idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,5,0,3,14.39,0.0,0.0,1,20
2.0,5,0,2,21.66,0.0,0.0,1,20
3.0,1,0,0,6.31,0.0,0.0,0,20
4.0,4,0,0,23.34,0.0,0.0,0,20
5.0,1,0,3,10.61,0.0,0.0,1,20
6.0,6,0,0,8.53,0.0,0.0,0,20
7.0,4,0,1,16.84,0.0,0.0,0,20
8.0,6,0,1,12.31,0.0,0.0,0,20
9.0,4,0,2,15.89,0.0,0.0,0,20
10.0,1,0,1,16.65,0.0,0.0,0,20
11.0,1,0,2,7.75,0.0,0.0,0,20
12.0,3,0,4,20.32,0.0,0.0,1,20
13.0,3,0,1,10.24,0.0,0.0,2,20
14.0,5,0,0,22.42,0.0,0.0,0,20
15.0,5,0,1,12.17,0.0,0.0,0,20
16.0,3,0,0,6.19,1.0,0.0,0,20
17.0,3,0,2,12.91,2.0,0.0,0,20
18.0,1,0,4,12.4,3.0,0.0,0,20
19.0,3,0,3,16.95,4.0,0.0,0,20
20.0,6,0,2,19.0,5.0,0.0,0,20
21.0,2,0,0,5.99,6.0,0.0,0,20
22.0,6,0,3,18.54,7.0,0.0,0,20
23.0,2,0,1,6.9,8.0,0.0,0,20
24.0,6,0,4,23.19,9.0,0.0,0,20
25.0,2,0,2,6.61,10.0,0.0,0,20
