idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1,4,0,0,10.92,0,0,0,20
2,4,0,2,19.11,0,0,2,20
3,3,0,3,18.41,0,0,2,20
4,6,0,1,19.85,0,0,1,20
5,3,0,1,10.2,0,0,2,20
6,1,0,2,9.8,0,0,2,20
7,6,0,0,23.06,0,0,1,20
8,5,0,1,21.86,1,0,1,20
9,2,0,3,13.21,2,0,1,20
10,2,0,0,5.55,3,0,0,20
11,5,0,0,14.79,4,0,0,20
12,5,0,2,22.04,5,0,0,20
13,2,0,1,6.24,6,0,0,20
14,4,0,4,23.55,7,0,1,20
15,2,0,4,18.95,8,0,1,20
16,2,0,2,10.45,9,0,0,20
17,4,0,1,14.35,10,0,0,20
18,3,0,0,9.07,11,0,0,20
19,4,0,3,22.02,12,0,0,20
20,1,0,1,9.22,13,0,1,20
21,3,0,4,22.63,14,0,1,20
22,3,0,2,11.7,15,0,0,20
23,1,0,3,9.65,16,0,0,20
24,5,0,3,9.46,17,0,0,20
25,1,0,0,6.53,18,0,0,20
