idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,5,0,1,17.38,0.0,0.0,1,20
2.0,5,0,0,19.29,0.0,0.0,1,20
3.0,5,0,2,22.89,0.0,0.0,2,20
4.0,2,0,0,5.07,0.0,0.0,0,20
5.0,6,0,0,16.88,0.0,0.0,0,20
6.0,2,0,1,7.87,0.0,0.0,2,20
7.0,4,0,2,17.46,0.0,0.0,2,20
8.0,2,0,4,16.91,1.0,0.0,1,20
9.0,2,0,3,11.84,2.0,0.0,1,20
10.0,4,0,0,10.51,3.0,0.0,0,20
11.0,1,0,0,6.47,4.0,0.0,0,20
12.0,1,0,2,8.85,5.0,0.0,1,20
13.0,6,0,1,20.26,6.0,0.0,1,20
14.0,4,0,1,16.51,7.0,0.0,0,20
15.0,3,0,0,9.99,8.0,0.0,0,20
16.0,3,0,2,15.3,9.0,0.0,1,20
17.0,3,0,1,11.31,10.0,0.0,0,20
18.0,4,0,4,22.96,11.0,0.0,1,20
19.0,4,0,3,17.55,12.0,0.0,0,20
20.0,1,0,1,6.7,13.0,0.0,0,20
21.0,2,0,2,10.32,14.0,0.0,0,20
22.0,3,0,4,18.12,15.0,0.0,1,20
23.0,1,0,3,10.96,16.0,0.0,0,20
24.0,1,0,4,11.06,17.0,0.0,0,20
25.0,3,0,3,15.97,18.0,0.0,0,20
