idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,4,0,2,20.0,0.0,0.0,2,20
2.0,6,0,1,22.66,0.0,0.0,1,20
3.0,3,0,0,11.94,0.0,0.0,2,20
4.0,5,0,1,16.89,0.0,0.0,1,20
5.0,6,0,0,23.93,0.0,0.0,0,20
6.0,5,0,0,16.34,0.0,0.0,1,20
7.0,4,0,0,17.21,0.0,0.0,2,20
8.0,5,0,2,22.97,1.0,0.0,0,20
9.0,4,0,1,16.96,2.0,0.0,0,20
10.0,4,0,3,20.62,3.0,0.0,0,20
11.0,3,0,1,13.29,4.0,0.0,0,20
12.0,2,0,4,17.3,5.0,0.0,1,20
13.0,2,0,0,10.73,6.0,0.0,0,20
14.0,5,0,3,23.06,7.0,0.0,0,20
15.0,2,0,2,12.28,8.0,0.0,1,20
16.0,2,0,1,9.35,9.0,0.0,0,20
17.0,2,0,3,9.86,10.0,0.0,0,20
18.0,3,0,3,18.87,11.0,0.0,1,20
19.0,3,0,4,19.64,12.0,0.0,1,20
20.0,6,0,2,17.35,13.0,0.0,0,20
21.0,3,0,2,12.43,14.0,0.0,0,20
22.0,1,0,1,10.76,15.0,0.0,1,20
23.0,4,0,4,19.55,16.0,0.0,0,20
24.0,6,0,3,19.17,17.0,0.0,0,20
25.0,1,0,0,5.28,18.0,0.0,0,20
