idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1,6,0,0,15.56,0,0,0,20
2,1,0,1,7.95,0,0,1,20
3,6,0,1,21.54,0,0,1,20
4,1,0,2,5.51,0,0,1,20
5,6,0,3,20.02,0,0,1,20
6,6,0,2,18.8,0,0,1,20
7,1,0,0,12.6,0,0,1,20
8,4,0,0,9.65,1,0,0,20
9,5,0,0,15.15,2,0,0,20
10,5,0,2,21.21,3,0,1,20
11,5,0,1,19.34,4,0,0,20
12,5,0,3,15.93,5,0,0,20
13,1,0,3,7.03,6,0,0,20
14,3,0,0,10.32,7,0,0,20
15,3,0,1,9.84,8,0,0,20
16,2,0,0,7.93,9,0,0,20
17,5,0,4,21.95,10,0,0,20
18,3,0,2,20.53,11,0,0,20
19,4,0,1,13.14,12,0,0,20
20,3,0,3,21.5,13,0,1,20
21,2,0,1,8.08,14,0,0,20
22,2,0,2,9.78,15,0,0,20
23,2,0,3,12.54,16,0,0,20
24,1,0,4,12.15,17,0,0,20
25,2,0,4,10.44,18,0,0,20
