idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,9.5,0,9.5,0,0,20
2,1,0,1,12.42,0,12.42,0,1,20
3,3,0,0,12.14,0,12.14,0,0,20
4,3,0,1,21.34,0,21.34,0,0,20
5,3,0,2,9.26,0,9.26,0,0,20
6,4,0,0,11.8,0,11.8,0,0,20
7,3,0,3,5.4,0,5.4,0,0,20
8,1,0,0,5.29,0,5.29,0,0,20
9,3,0,4,6.53,0,6.53,0,1,20
10,4,0,1,16.2,0,16.2,0,0,20
11,1,0,3,15.03,0,15.03,0,1,20
12,4,0,2,21.2,0,21.2,0,0,20
13,1,0,4,17.84,0,17.84,0,1,20
14,1,0,2,12.72,0,12.72,0,1,20
15,4,0,3,22.93,0,22.93,0,1,20
16,6,0,1,9.68,0,9.68,1,0,20
17,2,0,0,10.54,0,10.54,2,0,20
18,2,0,1,21.16,0,21.16,3,0,20
19,5,0,0,20.36,0,20.36,4,0,20
20,4,0,4,23.39,0,23.39,5,0,20
21,6,0,2,16.43,0,16.43,6,0,20
22,2,0,2,22.75,0,22.75,7,0,20
23,5,0,1,9.31,0,9.31,8,0,20
24,6,0,3,16.74,0,16.74,9,0,20
25,5,0,2,20.34,0,20.34,10,0,20
