Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 994.400024, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 998.750061, -0.046135, 114.749893, -2.430208, 0.002739, -0.002989, 14.440000, 0, 0, 0.000000, 0
2, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 753.834229, 0.013486, 117.985191, -4.266429, 0.002869, 0.000889, 11.240000, 0, 0, 0.000000, 0
3, 1491.600098, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1491.595215, -0.001283, 110.881966, 0.005838, 0.000008, -0.000704, 11.530000, 0, 0, 0.000000, 0
4, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 270.554779, -0.022196, 126.700554, -8.741228, 0.004894, -0.000692, 13.120000, 0, 0, 0.000000, 0
5, 745.800049, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 770.396912, 0.026974, 338.150146, -4.198814, 0.007510, -0.007754, 9.590000, 0, 0, 0.000000, 0
6, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 303.798676, -0.016504, 345.771362, -8.705697, 0.011745, 0.000741, 22.020000, 0, 0, 0.000000, 0
7, 1243.000000, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1243.009155, -0.002160, 110.871521, 0.022928, 0.001748, -0.001551, 18.809999, 0, 0, 0.000000, 0
8, 745.800049, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 786.673645, 0.072523, 558.902710, -3.895687, -0.012522, -0.021099, 15.450000, 0, 0, 1.000000, 1
9, 248.600006, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 554.425903, -0.234652, 576.712891, -89.776268, -1.693955, 1.684077, 8.290000, 0, 0, 2.000000, 2
10, 248.600006, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 783.383240, -0.100216, 784.812439, -86.003998, 179.807480, -179.816574, 20.200001, 0, 0, 3.000000, 3
11, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 508.890961, -0.014664, 121.353714, -5.754674, -0.007904, 0.004958, 6.470000, 0, 0, 4.000000, 4
12, 994.400024, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1008.364197, -0.087294, 335.818939, -2.475312, -0.009115, -0.011692, 16.940001, 0, 0, 5.000000, 5
13, 994.400024, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1018.126953, -0.163951, 557.004822, -2.374957, -0.015123, -0.015338, 23.580000, 0, 0, 6.000000, 6
14, 497.200012, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 538.389893, -0.083417, 340.973083, -5.710058, 0.008519, -0.007218, 8.710000, 0, 0, 7.000000, 7
15, 1243.000000, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1242.904053, -0.009582, 332.475006, 0.022029, 0.001695, -0.002041, 23.680000, 0, 0, 8.000000, 8
