Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Group, Score, Seq, Reloc, Size(ft)
1, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 766.031616, 0.035913, 129.368149, -9.300278, 0.036277, -0.000943, 13.220000, 0, 13.000000, 0, 0, 0
2, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 841.914490, 0.329632, 575.212952, -9.481822, -0.038810, -0.090226, 13.770000, 0, 13.000000, 0, 0, 0
3, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 374.532959, -0.018417, 578.528076, -10.508625, -0.032367, 0.016859, 19.840000, 0, 19.000000, 0, 0, 0
4, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 290.181824, 0.618247, 129.450455, -8.377816, 0.019115, 0.005442, 16.400000, 0, 16.000000, 0, 0, 0
5, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 523.496460, -0.366879, 126.408699, -9.006776, 0.042757, -0.036133, 6.390000, 0, 6.000000, 0, 0, 0
6, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 332.799713, 0.378166, 356.086121, -10.626736, 0.029007, -0.000871, 15.270000, 0, 15.000000, 0, 0, 0
7, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 803.461243, 0.206418, 352.451935, -9.584071, 0.017611, -0.026056, 12.720000, 0, 12.000000, 0, 0, 0
8, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 564.848083, -0.355181, 349.495514, -10.319427, -0.017800, 0.075360, 14.290000, 0, 14.000000, 0, 0, 0
9, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 606.500977, -0.181283, 571.389587, -10.326479, -0.034848, 0.083175, 19.010000, 0, 19.000000, 0, 0, 0
10, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1012.285706, -0.120101, 126.886650, -7.967916, 0.003563, 0.050957, 9.130000, 0, 9.000000, 0, 0, 0
11, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 879.421143, 0.219125, 798.295959, -9.400994, -0.036346, -0.138316, 18.700001, 0, 18.000000, 0, 0, 0
12, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1044.428467, -0.030378, 350.438538, -7.909813, 0.041947, 0.012566, 18.100000, 0, 18.000000, 0, 0, 0
13, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1257.486572, -0.058701, 123.418411, -6.410401, -0.021820, 0.026920, 5.990000, 0, 5.000000, 0, 0, 0
14, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1283.572510, -0.056403, 347.769714, -6.347669, 0.011450, -0.033261, 16.680000, 0, 16.000000, 0, 0, 0
15, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1502.959839, -0.042473, 121.209366, -4.710268, 0.001071, -0.011370, 11.440000, 0, 11.000000, 0, 0, 0
16, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1076.557983, 0.189639, 574.276306, -7.668907, 0.000026, 0.054139, 18.559999, 0, 18.000000, 0, 0, 0
17, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 404.314667, 0.220847, 819.899719, -1.715591, 0.002535, 0.087398, 23.260000, 0, 23.000000, 0, 0, 0
18, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1521.675659, 0.140874, 346.198029, -5.013184, -0.074447, 0.003837, 9.030000, 0, 9.000000, 0, 0, 0
19, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1542.103760, 0.231046, 571.306641, -5.185450, -0.146419, 0.026229, 12.370000, 0, 12.000000, 0, 0, 0
20, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 646.919189, 0.105761, 795.638000, -9.468002, -0.018805, 0.082850, 20.740000, 0, 20.000000, 0, 0, 0
21, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1562.979492, 0.486357, 796.226379, -5.259943, -0.346403, 0.021998, 10.170000, 0, 10.000000, 0, 0, 0
22, 498.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 684.520142, -0.783193, 1019.135925, -9.570069, -0.035054, 0.167483, 21.980000, 0, 21.000000, 0, 0, 0
23, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1309.374756, -0.161343, 571.821289, -6.225609, 0.014157, -0.002798, 9.080000, 0, 9.000000, 0, 0, 0
24, 1494.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1584.063965, 0.459175, 1021.505554, -5.224809, -0.242871, -0.000686, 12.430000, 0, 12.000000, 0, 0, 0
25, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1331.320679, -0.919675, 797.563110, -6.191084, -0.344934, 0.039862, 16.110001, 0, 16.000000, 0, 0, 0
