idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1,6,0,0,19.89,1.0,0,0,20
2,2,0,0,7.33,2.0,0,0,20
3,2,0,1,9.11,3.0,0,0,20
4,4,0,4,23.97,4.0,0,1,20
5,1,0,0,7.76,5.0,0,0,20
6,5,0,0,15.95,6.0,0,0,20
7,5,0,1,18.51,7.0,0,0,20
8,5,0,2,23.68,8.0,0,0,20
9,4,0,2,18.93,9.0,0,1,20
10,4,0,1,15.97,10.0,0,1,20
11,1,0,1,8.5,11.0,0,0,20
12,4,0,0,13.33,12.0,0,0,20
13,4,0,3,14.85,13.0,0,0,20
14,6,0,1,22.23,14.0,0,0,20
15,1,0,2,7.86,15.0,0,0,20
16,2,0,2,12.45,16.0,0,0,20
17,3,0,3,17.96,17.0,0,1,20
18,3,0,0,11.04,18.0,0,0,20
19,3,0,1,12.15,19.0,0,0,20
20,3,0,2,13.69,20.0,0,0,20
21,2,0,3,14.85,21.0,0,0,20
22,3,0,4,19.91,22.0,0,0,20
23,2,0,4,15.41,23.0,0,0,20
24,5,0,3,22.77,24.0,0,0,20
25,1,0,3,10.14,25.0,0,0,20
