idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1,4,0,0,14.65,1,0,0,20
2,6,0,1,21.6,2,0,1,20
3,2,0,2,12.21,3,0,1,20
4,4,0,3,23.62,4,0,1,20
5,2,0,0,8.77,5,0,0,20
6,2,0,1,8.94,6,0,0,20
7,5,0,0,16.19,7,0,0,20
8,6,0,0,19.89,8,0,0,20
9,4,0,1,15.84,9,0,0,20
10,5,0,1,16.49,10,0,0,20
11,3,0,0,10.1,11,0,0,20
12,3,0,4,19.46,12,0,1,20
13,5,0,2,22.33,13,0,0,20
14,1,0,0,7.77,14,0,0,20
15,1,0,1,8.39,15,0,0,20
16,2,0,3,14.6,16,0,0,20
17,3,0,1,9.72,17,0,0,20
18,2,0,4,12.76,18,0,0,20
19,3,0,2,16.16,19,0,0,20
20,1,0,2,7.33,20,0,0,20
21,5,0,3,21.25,21,0,0,20
22,4,0,2,17.47,22,0,0,20
23,3,0,3,18.25,23,0,0,20
24,4,0,4,23.85,24,0,0,20
25,1,0,3,14.43,25,0,1,20
