idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,20.64,0,20.64,1,0,20
2,3,0,0,9.89,0,9.89,2,0,20
3,1,0,0,18.88,0,18.88,3,0,20
4,5,0,1,22.13,0,22.13,4,0,20
5,1,0,1,19.22,0,19.22,5,0,20
6,4,0,0,16.57,0,16.57,6,0,20
7,3,0,1,10.73,0,10.73,7,0,20
8,3,0,2,15.81,0,15.81,8,0,20
9,3,0,3,18.85,0,18.85,9,0,20
10,6,0,0,13.28,0,13.28,10,0,20
11,4,0,1,22.81,0,22.81,11,0,20
12,2,0,0,6.23,0,6.23,12,0,20
13,6,0,1,17.34,0,17.34,13,0,20
14,2,0,1,7.26,0,7.26,14,0,20
15,6,0,2,18.82,0,18.82,15,0,20
