Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 498.141113, 0.016911, 113.110123, -0.071182, -0.015851, 0.000031, 12.760000, 0, 12.760000, 0, 0, 0
2, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 498.946381, 0.012228, 339.456085, -0.127366, -0.002556, 0.006393, 14.930000, 0, 14.930000, 0, 0, 0
3, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.995178, -0.001680, 113.182068, 0.005631, 0.000005, -0.001016, 15.290000, 0, 15.290000, 0, 0, 0
4, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.995239, -0.001679, 113.182068, 0.005631, 0.000005, -0.001016, 22.400000, 0, 22.400000, 0, 0, 0
5, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 996.058289, -0.006330, 113.082039, -0.122814, 0.000610, -0.004452, 19.790001, 0, 19.790001, 0, 0, 0
6, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.995239, -0.001680, 113.182068, 0.005631, 0.000005, -0.001016, 15.600000, 0, 15.600000, 0, 0, 0
7, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 262.497711, 0.270349, 113.221359, -0.123095, -0.302312, -0.005590, 13.570000, 0, 13.570000, 0, 0, 0
8, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 996.543518, -0.030024, 339.118286, -0.117442, 0.000243, -0.004741, 21.260000, 0, 21.260000, 0, 0, 0
9, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 269.965424, 0.090904, 339.502106, -0.139814, -0.007841, -0.000786, 11.050000, 0, 11.050000, 0, 0, 0
10, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 997.357849, -0.036963, 565.304993, -0.105819, 0.000101, 0.001673, 23.480000, 0, 23.480000, 0, 0, 0
