Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 275.717987, -0.010013, 132.166214, -12.280839, -0.004724, 0.000766, 16.870001, 0, 0, 1.000000, 1
2, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 517.921021, 0.012290, 128.131363, -10.167089, 0.004444, 0.001969, 13.290000, 0, 0, 2.000000, 2
3, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 762.296814, -0.069001, 124.660095, -8.663708, 0.012443, -0.016560, 6.280000, 0, 0, 3.000000, 3
4, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 322.558380, -0.032483, 348.557709, -12.071278, -0.010666, -0.006992, 22.240000, 0, 0, 4.000000, 4
5, 248.600006, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 366.893890, -0.102268, 568.412537, -10.607558, -0.018219, -0.000614, 23.500000, 0, 0, 5.000000, 5
6, 994.400024, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1008.198730, -0.051501, 122.653770, -7.480740, 0.005975, 0.003592, 5.030000, 0, 0, 6.000000, 6
7, 497.200012, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 558.141846, 0.064846, 345.413452, -10.281343, -0.014699, 0.024082, 15.050000, 0, 0, 7.000000, 7
8, 745.800049, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 796.808533, -0.086930, 343.217499, -8.998198, -0.016925, -0.002647, 10.170000, 0, 0, 8.000000, 8
9, 248.600006, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 405.929108, -0.127335, 788.755859, -9.524559, -0.023440, 0.004222, 23.830000, 0, 0, 9.000000, 9
10, 994.400024, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1037.938721, -0.029648, 342.306946, -7.887868, -0.016826, 0.010341, 9.850000, 0, 0, 10.000000, 10
11, 497.200012, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 598.349060, 0.180138, 562.882751, -10.299624, -0.018125, 0.030457, 19.730000, 0, 0, 11.000000, 11
12, 497.200012, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 636.717590, 0.291936, 782.964600, -9.246579, -0.030361, 0.030505, 19.980000, 0, 0, 12.000000, 12
13, 745.800049, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 832.391052, -0.055332, 561.238403, -9.076441, -0.033535, 0.010066, 11.240000, 0, 0, 13.000000, 13
14, 745.800049, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 867.638489, -0.082065, 779.706909, -8.867077, -0.031653, -0.019520, 16.100000, 0, 0, 14.000000, 14
15, 1243.000000, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1254.610718, 0.013851, 121.352921, -5.885426, -0.000861, 0.012538, 9.650000, 0, 0, 15.000000, 15
16, 497.200012, 0.000000, 997.200012, 0.000000, 0.000000, 0.000000, 670.866455, 0.360879, 1003.411621, -8.615996, -0.031974, 0.028431, 23.670000, 0, 0, 16.000000, 16
17, 994.400024, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1068.917969, 0.014900, 561.476868, -8.013083, -0.032102, 0.030619, 12.300000, 0, 0, 17.000000, 17
18, 745.800049, 0.000000, 997.200012, 0.000000, 0.000000, 0.000000, 900.956970, -0.230685, 999.538635, -8.616272, -0.032169, -0.021525, 22.690001, 0, 0, 18.000000, 18
19, 1491.600098, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1500.123779, -0.032117, 118.537437, -4.529923, -0.001194, -0.001268, 5.190000, 0, 0, 19.000000, 19
20, 1491.600098, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1517.880249, -0.031521, 338.874725, -4.496244, -0.026928, -0.011102, 5.500000, 0, 0, 20.000000, 20
21, 1491.600098, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1535.282593, -0.103597, 559.534363, -4.395634, -0.028871, -0.018853, 6.790000, 0, 0, 21.000000, 21
22, 1243.000000, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1277.327881, 0.070498, 341.499268, -5.796226, -0.005563, 0.018919, 12.250000, 0, 0, 22.000000, 22
23, 1491.600098, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1552.151245, -0.187038, 780.505554, -4.362314, -0.027834, -0.021138, 5.420000, 0, 0, 23.000000, 23
24, 994.400024, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1099.938232, 0.087150, 780.801941, -7.991927, -0.031514, 0.018527, 21.930000, 0, 0, 24.000000, 24
25, 1243.000000, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1303.458252, 0.150717, 561.374939, -5.790933, -0.028681, 0.020497, 6.810000, 0, 0, 25.000000, 25
