idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,10.44,0,10.44,0,0,20
2,6,0,0,21.09,0,21.09,0,0,20
3,2,0,0,7.86,0,7.86,0,0,20
4,5,0,0,6.75,0,6.75,1,0,20
5,5,0,1,20.64,0,20.64,2,0,20
6,4,0,0,11.6,0,11.6,3,0,20
7,4,0,1,15.78,0,15.78,4,0,20
8,1,0,1,12.73,0,12.73,5,1.0,20
9,2,0,1,9.13,0,9.13,6,0,20
10,1,0,2,5.78,0,5.78,7,1.0,20
11,3,0,0,5.5,0,5.5,8,0,20
12,3,0,1,12.56,0,12.56,9,0,20
13,3,0,2,13.99,0,13.99,10,0,20
14,3,0,3,19.02,0,19.02,11,0,20
15,2,0,2,9.47,0,9.47,12,0,20
16,5,0,2,21.33,0,21.33,13,0,20
17,4,0,2,18.99,0,18.99,14,0,20
18,2,0,3,13.1,0,13.1,15,0,20
19,1,0,3,5.08,0,5.08,16,1.0000000000000004,20
20,6,0,1,22.07,0,22.07,17,0,20
