Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 259.110718, -0.022662, 121.983437, -4.786074, -0.000535, -0.016695, 21.990000, 0, 21.990000, 0, 0, 0
2, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 278.291168, 0.014392, 347.332886, -4.842628, -0.034494, -0.020681, 21.760000, 0, 21.760000, 0, 0, 0
3, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 297.813202, 0.073768, 572.703247, -4.981410, -0.030061, -0.067604, 9.270000, 0, 9.270000, 0, 0, 0
4, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.977173, -0.005397, 113.168846, 0.029610, -0.000002, -0.003712, 16.770000, 0, 16.770000, 0, 0, 0
5, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 502.714478, -0.093812, 117.253914, -2.351713, 0.021163, 0.013865, 16.219999, 0, 16.219999, 0, 0, 0
6, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.979797, -0.006656, 113.060654, 0.017350, 0.000002, -0.006114, 13.580000, 0, 13.580000, 0, 0, 0
7, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 995.801086, -0.061236, 338.977509, 0.100789, -0.000043, -0.024989, 7.330000, 0, 7.330000, 0, 0, 0
8, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 995.281494, -0.190500, 565.026428, 0.177902, -0.000114, -0.040253, 10.380000, 0, 10.380000, 0, 0, 0
9, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 323.607422, -0.182415, 803.557068, -7.987461, -0.036469, -0.097708, 15.000000, 0, 15.000000, 0, 0, 0
10, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.987793, -0.005121, 113.136002, 0.018916, 0.000006, -0.005012, 22.370001, 0, 22.370001, 0, 0, 0
11, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 749.188293, -0.028600, 115.025978, -1.197891, 0.000068, -0.006806, 17.549999, 0, 17.549999, 0, 0, 0
12, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.876099, -0.037876, 339.285187, 0.050179, -0.000005, -0.012122, 16.480000, 0, 16.480000, 0, 0, 0
13, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 512.999573, -0.211811, 342.928528, -2.199603, -0.027645, 0.028264, 13.650000, 0, 13.650000, 0, 0, 0
14, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.845947, -0.023200, 339.372131, 0.028674, 0.000019, -0.004814, 22.000000, 0, 22.000000, 0, 0, 0
15, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 754.397400, -0.064369, 341.039642, -1.284121, -0.032464, -0.015217, 12.600000, 0, 12.600000, 0, 0, 0
16, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 532.199463, -0.491167, 568.447876, -1.975506, -0.040544, 0.078710, 8.460000, 0, 8.460000, 0, 0, 0
17, 249.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 354.821533, -0.579257, 1027.576294, -7.968584, -0.057711, -0.085820, 16.469999, 0, 16.469999, 0, 0, 0
18, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1493.646118, -0.092906, 565.477478, 0.060400, -0.000011, -0.014775, 16.040001, 0, 16.040001, 0, 0, 0
19, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 762.560364, -0.022054, 566.883789, -1.293010, -0.046112, -0.020224, 6.820000, 0, 6.820000, 0, 0, 0
20, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 994.511292, -0.363664, 791.198486, 0.205661, -0.000133, -0.046455, 11.160000, 0, 11.160000, 0, 0, 0
