Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Group, Score, Seq, Reloc, Size(ft)
1, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 998.339233, -0.135752, 340.278107, -0.671020, 0.028123, -0.004544, 7.160000, 0, 7.000000, 0, 0, 0
2, 996.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 3366.945801, -87.511818, 114.786560, -89.793961, 157.547836, 178.302765, 21.450001, 0, 21.000000, 0, 0, 0
3, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1243.783325, 0.489632, 566.679932, -89.860893, 11.872850, -11.758540, 10.230000, 0, 10.000000, 0, 0, 0
4, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.949097, -0.056275, 113.408127, -0.326951, 0.019349, -0.000228, 6.610000, 0, 6.000000, 0, 0, 0
5, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1964.426758, -46.490368, 114.588882, -90.000000, 172.874985, 166.879700, 10.840000, 0, 10.000000, 0, 0, 0
6, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 280.533356, -0.153626, 120.016808, -3.624402, 0.044947, 0.017701, 21.340000, 0, 21.000000, 0, 0, 0
7, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 299.666443, 0.303735, 345.974091, -3.906336, 0.018894, 0.037700, 21.410000, 0, 21.000000, 0, 0, 0
8, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 511.875977, -0.140413, 120.518105, -4.379404, 0.019241, -0.090400, 6.360000, 0, 6.000000, 0, 0, 0
9, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 531.404114, -0.440242, 346.173584, -4.960396, 0.032867, -0.087389, 17.150000, 0, 17.000000, 0, 0, 0
10, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 751.450195, -0.006080, 117.298431, -2.281582, -0.008654, -0.002060, 16.070000, 0, 16.000000, 0, 0, 0
11, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 550.687622, -0.790943, 571.513794, -4.932939, 0.031113, -0.088777, 21.379999, 0, 21.000000, 0, 0, 0
12, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 319.235504, -0.943924, 571.417664, -3.965654, 0.028646, 0.034592, 23.180000, 0, 23.000000, 0, 0, 0
13, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.996948, -0.145286, 112.967461, 0.108684, 0.071180, -0.012422, 6.270000, 0, 6.000000, 0, 0, 0
14, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 763.769348, -0.106286, 345.811890, -3.595783, 0.028622, -0.008706, 21.280001, 0, 21.000000, 0, 0, 0
15, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.216675, -0.242938, 339.091034, 0.154135, 0.065430, -0.025531, 14.280000, 0, 14.000000, 0, 0, 0
